target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,32.30,32.85,34.32,33.16,32.30,34.32,82.9
60.00,32.17,,,32.17,32.17,32.17,53.6

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,32.30,40.00
Max Iter2,32.85,40.00
Max Iter3,34.32,40.00
Overall Max,34.32,40.00
Avg of Max,33.16,
