target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,34.17,33.87,32.32,33.45,32.32,34.17,83.6
60.00,33.20,,,33.20,33.20,33.20,55.3

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,34.17,40.00
Max Iter2,33.87,40.00
Max Iter3,32.32,40.00
Overall Max,34.17,40.00
Avg of Max,33.45,
