Configuration,Pods,CPU_per_Pod,Memory_per_Pod,containerConcurrency,Max_Throughput_RPS,Target_RPS_at_Max,Avg_Latency_ms,P95_Latency_ms,P99_Latency_ms
C1,1,2000m,2Gi,200,447.0,480,33.58,79.06,107.38
C2,2,1000m,1Gi,100,453.4,400,14.00,32.02,51.65
C3,4,500m,500Mi,50,447.6,400,14.45,32.29,49.41
C4,8,250m,250Mi,25,442.6,400,14.03,30.13,50.33
C5,10,200m,200Mi,20,399.5,420,23.16,68.02,102.72
