timestamp,pod_count,cpu_usage_millicores,memory_usage_mib
2025-08-18T23:29:44.111887,1,8,14
2025-08-18T23:29:46.341226,1,8,14
2025-08-18T23:29:48.548358,1,8,14
2025-08-18T23:29:50.839660,1,8,14
2025-08-18T23:29:53.171903,1,8,14
2025-08-18T23:29:55.500543,1,8,14
2025-08-18T23:29:57.929824,1,9,15
2025-08-18T23:30:00.327415,1,9,15
2025-08-18T23:30:02.738848,1,9,15
2025-08-18T23:30:05.233769,1,9,15
2025-08-18T23:30:07.565763,1,9,15
2025-08-18T23:30:10.000295,1,9,15
2025-08-18T23:30:12.393576,1,9,15
2025-08-18T23:30:14.849802,1,687,27
2025-08-18T23:30:17.204257,1,687,27
2025-08-18T23:30:19.623067,1,687,27
2025-08-18T23:30:22.000104,1,687,27
2025-08-18T23:30:24.402509,1,687,27
2025-08-18T23:30:26.832011,1,687,27
2025-08-18T23:30:29.201805,1,918,32
2025-08-18T23:30:31.487019,1,918,32
2025-08-18T23:30:33.844581,1,918,32
2025-08-18T23:30:36.177863,1,918,32
2025-08-18T23:30:38.856375,1,918,32
2025-08-18T23:30:41.337309,1,918,32
2025-08-18T23:30:43.832412,1,916,33
2025-08-18T23:30:46.287634,1,916,33
2025-08-18T23:30:48.513748,1,916,33
2025-08-18T23:30:50.965761,1,916,33
2025-08-18T23:30:53.321750,1,916,33
2025-08-18T23:30:55.655140,1,916,33
2025-08-18T23:30:57.917834,1,939,33
2025-08-18T23:31:00.202329,1,939,33
2025-08-18T23:31:02.541781,1,939,33
2025-08-18T23:31:04.862870,1,939,33
2025-08-18T23:31:07.259208,1,939,33
2025-08-18T23:31:09.503397,1,939,33
2025-08-18T23:31:11.777803,1,939,33
2025-08-18T23:31:14.048352,1,531,34
2025-08-18T23:31:16.458064,1,531,34
2025-08-18T23:31:18.748326,1,531,34
2025-08-18T23:31:21.086835,1,531,34
2025-08-18T23:31:23.461927,1,531,34
2025-08-18T23:31:25.765761,1,531,34
2025-08-18T23:31:28.105278,1,747,33
2025-08-18T23:31:30.405789,1,747,33
2025-08-18T23:31:32.845730,1,747,33
2025-08-18T23:31:35.160152,1,747,33
2025-08-18T23:31:37.471071,1,747,33
2025-08-18T23:31:39.797131,1,747,33
2025-08-18T23:31:42.115625,1,747,33
2025-08-18T23:31:44.497542,1,955,33
2025-08-18T23:31:46.797866,1,955,33
2025-08-18T23:31:49.249746,1,955,33
2025-08-18T23:31:51.456331,1,955,33
2025-08-18T23:31:53.984617,1,955,33
2025-08-18T23:31:56.531552,1,955,33
2025-08-18T23:31:58.841822,1,804,33
2025-08-18T23:32:01.156199,1,804,33
2025-08-18T23:32:03.505815,1,804,33
2025-08-18T23:32:05.802994,1,804,33
2025-08-18T23:32:08.097850,1,804,33
2025-08-18T23:32:10.506403,1,804,33
2025-08-18T23:32:12.883615,1,804,33
2025-08-18T23:32:15.254139,1,957,33
2025-08-18T23:32:17.598878,1,957,33
2025-08-18T23:32:20.232344,1,957,33
2025-08-18T23:32:22.541770,1,957,33
2025-08-18T23:32:24.898621,1,957,33
2025-08-18T23:32:27.255739,1,957,33
2025-08-18T23:32:29.639182,1,916,34
2025-08-18T23:32:31.993771,1,916,34
2025-08-18T23:32:34.374034,1,916,34
2025-08-18T23:32:36.765324,1,916,34
2025-08-18T23:32:39.165844,1,916,34
2025-08-18T23:32:41.906524,1,916,34
2025-08-18T23:32:44.317001,1,953,33
2025-08-18T23:32:46.725802,1,953,33
2025-08-18T23:32:48.973810,1,953,33
2025-08-18T23:32:51.240145,1,953,33
2025-08-18T23:32:53.437984,1,953,33
2025-08-18T23:32:55.652911,1,953,33
2025-08-18T23:32:57.900483,1,453,35
2025-08-18T23:33:00.390864,1,453,35
2025-08-18T23:33:02.873769,1,453,35
2025-08-18T23:33:05.275168,1,453,35
2025-08-18T23:33:07.737821,1,453,35
2025-08-18T23:33:10.023030,1,453,35
2025-08-18T23:33:12.351563,1,453,35
2025-08-18T23:33:14.832321,1,607,34
2025-08-18T23:33:17.162258,1,607,34
2025-08-18T23:33:19.645738,1,607,34
2025-08-18T23:33:22.137257,1,607,34
2025-08-18T23:33:24.457209,1,607,34
2025-08-18T23:33:26.905208,1,607,34
2025-08-18T23:33:29.459585,1,783,34
2025-08-18T23:33:31.850872,1,783,34
2025-08-18T23:33:34.246537,1,783,34
2025-08-18T23:33:36.786653,1,783,34
2025-08-18T23:33:39.149811,1,783,34
2025-08-18T23:33:41.647445,1,783,34
2025-08-18T23:33:44.225808,1,999,35
2025-08-18T23:33:46.622994,1,999,35
2025-08-18T23:33:48.888135,1,999,35
2025-08-18T23:33:51.232671,1,999,35
2025-08-18T23:33:53.771730,1,999,35
2025-08-18T23:33:56.133893,1,999,35
2025-08-18T23:33:58.604344,1,724,36
2025-08-18T23:34:00.852742,1,724,36
2025-08-18T23:34:03.531803,1,724,36
2025-08-18T23:34:06.016297,1,724,36
2025-08-18T23:34:08.450795,1,724,36
2025-08-18T23:34:10.861880,1,724,36
2025-08-18T23:34:13.437929,1,669,33
2025-08-18T23:34:15.985643,1,669,33
2025-08-18T23:34:18.548451,1,669,33
2025-08-18T23:34:21.073295,1,669,33
2025-08-18T23:34:23.432315,1,669,33
2025-08-18T23:34:25.813821,1,669,33
2025-08-18T23:34:28.197816,1,981,35
2025-08-18T23:34:30.446574,1,981,35
2025-08-18T23:34:32.683272,1,981,35
2025-08-18T23:34:35.060988,1,981,35
2025-08-18T23:34:37.480097,1,981,35
2025-08-18T23:34:39.722709,1,981,35
2025-08-18T23:34:42.185814,1,981,35
2025-08-18T23:34:44.601782,1,778,34
2025-08-18T23:34:47.144561,1,778,34
2025-08-18T23:34:49.395879,1,778,34
2025-08-18T23:34:51.677150,1,778,34
2025-08-18T23:34:54.119961,1,778,34
2025-08-18T23:34:56.483163,1,778,34
2025-08-18T23:34:58.843595,1,521,31
2025-08-18T23:35:01.097619,1,521,31
2025-08-18T23:35:03.485492,1,521,31
