target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,40.00,40.00,39.98,39.99,39.98,40.00,100.0
60.00,62.45,62.47,62.48,62.47,62.45,62.48,104.1
80.00,83.22,83.25,83.20,83.22,83.20,83.25,104.0
100.00,99.65,99.58,99.58,99.60,99.58,99.65,99.6
120.00,123.33,124.30,124.23,123.95,123.33,124.30,103.3
140.00,141.53,141.25,141.48,141.42,141.25,141.53,101.0
160.00,164.55,164.70,164.37,164.54,164.37,164.70,102.8
180.00,196.45,195.93,195.78,196.05,195.78,196.45,108.9
200.00,196.25,196.78,196.17,196.40,196.17,196.78,98.2
220.00,243.58,242.75,242.28,242.87,242.28,243.58,110.4
240.00,243.25,242.25,239.98,241.83,239.98,243.25,100.8
260.00,316.40,316.58,318.48,317.15,316.40,318.48,122.0
280.00,316.98,317.90,319.11,318.00,316.98,319.11,113.6
300.00,320.75,315.82,316.40,317.66,315.82,320.75,105.9
320.00,316.20,318.15,318.65,317.67,316.20,318.65,99.3
340.00,451.02,446.51,449.80,449.11,446.51,451.02,132.1
360.00,444.92,448.95,443.82,445.90,443.82,448.95,123.9
380.00,443.33,444.10,447.03,444.82,443.33,447.03,117.1
400.00,445.51,439.73,445.40,443.55,439.73,445.51,110.9
420.00,446.51,448.23,447.33,447.36,446.51,448.23,106.5
440.00,451.01,450.93,445.43,449.12,445.43,451.01,102.1
460.00,445.72,451.95,447.93,448.53,445.72,451.95,97.5
480.00,447.83,445.87,451.04,448.25,445.87,451.04,93.4
500.00,448.36,442.86,447.12,446.11,442.86,448.36,89.2

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,451.02,340.00
Max Iter2,451.95,460.00
Max Iter3,451.04,480.00
Overall Max,451.95,460.00
Avg of Max,451.34,
