run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,189.6,4419.0,,4419,4419,308004.0,,308004,308004,58437.89222925457,,58437.89222925457,58437.89222925457,51180.5,,51180.5,51180.5,129395.0,,129395.0,129395.0,194806.25,,194806.25,194806.25,37731.09299194168,,37731.09299194168,37731.09299194168,189.6,,189.6,189.6,11376.0,,11376,11376
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,227.2333333333333,4751.0,,4751,4751,535506.0,,535506,535506,81082.90443010122,,81082.90443010122,81082.90443010122,71686.0,,71686.0,71686.0,174400.79999999987,,174400.79999999987,174400.79999999987,276305.76000000007,,276305.76000000007,276305.76000000007,52266.72820956715,,52266.72820956715,52266.72820956715,227.2333333333333,,227.2333333333333,227.2333333333333,13634.0,,13634,13634
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,227.4,4073.0,,4073,4073,394164.0,,394164,394164,77681.56970096746,,77681.56970096746,77681.56970096746,66901.0,,66901.0,66901.0,184650.49999999988,,184650.49999999988,184650.49999999988,262921.08999999985,,262921.08999999985,262921.08999999985,52264.54392019152,,52264.54392019152,52264.54392019152,227.4,,227.4,227.4,13644.0,,13644,13644
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,228.03333333333333,4670.0,,4670,4670,623039.0,,623039,623039,106678.73176436192,,106678.73176436192,106678.73176436192,86605.5,,86605.5,86605.5,266607.74999999994,,266607.74999999994,266607.74999999994,426800.3200000005,,426800.3200000005,426800.3200000005,80289.03747197897,,80289.03747197897,80289.03747197897,228.03333333333333,,228.03333333333333,228.03333333333333,13682.0,,13682,13682
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,228.38333333333333,4416.0,,4416,4416,421609.0,,421609,421609,83253.05954900387,,83253.05954900387,83253.05954900387,72892.0,,72892.0,72892.0,187527.6,,187527.6,187527.6,270620.94,,270620.94,270620.94,53241.153276887606,,53241.153276887606,53241.153276887606,228.38333333333333,,228.38333333333333,228.38333333333333,13703.0,,13703,13703
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,228.51666666666668,5237.0,,5237,5237,705880.0,,705880,705880,86160.0363941361,,86160.0363941361,86160.0363941361,74802.0,,74802.0,74802.0,180146.0,,180146.0,180146.0,374888.2999999997,,374888.2999999997,374888.2999999997,63582.07477508583,,63582.07477508583,63582.07477508583,228.51666666666668,,228.51666666666668,228.51666666666668,13711.0,,13711,13711
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,228.53333333333333,4055.0,,4055,4055,373020.0,,373020,373020,80269.6983663944,,80269.6983663944,80269.6983663944,71557.0,,71557.0,71557.0,175574.05,,175574.05,175574.05,255946.65999999983,,255946.65999999983,255946.65999999983,49937.91860951017,,49937.91860951017,49937.91860951017,228.53333333333333,,228.53333333333333,228.53333333333333,13712.0,,13712,13712
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,281.26666666666665,6931.0,,6931,6931,570206.0,,570206,570206,146282.82478075373,,146282.82478075373,146282.82478075373,126134.0,,126134.0,126134.0,318058.25,,318058.25,318058.25,422354.5,,422354.5,422354.5,86031.40158203174,,86031.40158203174,86031.40158203174,281.26666666666665,,281.26666666666665,281.26666666666665,16876.0,,16876,16876
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,282.1,7410.0,,7410,7410,763036.0,,763036,763036,170681.54135649296,,170681.54135649296,170681.54135649296,148200.0,,148200.0,148200.0,381747.25,,381747.25,381747.25,509974.25,,509974.25,509974.25,101501.85353742064,,101501.85353742064,101501.85353742064,282.1,,282.1,282.1,16926.0,,16926,16926
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,282.78333333333336,6705.0,,6705,6705,570021.0,,570021,570021,134892.9551482289,,134892.9551482289,134892.9551482289,118331.0,,118331.0,118331.0,283560.8,,283560.8,283560.8,382013.2200000002,,382013.2200000002,382013.2200000002,76283.90245824105,,76283.90245824105,76283.90245824105,282.78333333333336,,282.78333333333336,282.78333333333336,16967.0,,16967,16967
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,282.85,4584.0,,4584,4584,757710.0,,757710,757710,131483.0876789818,,131483.0876789818,131483.0876789818,112983.0,,112983.0,112983.0,281143.0,,281143.0,281143.0,421884.5999999998,,421884.5999999998,421884.5999999998,82110.49730545608,,82110.49730545608,82110.49730545608,282.85,,282.85,282.85,16971.0,,16971,16971
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,284.25,7040.0,,7040,7040,1434750.0,,1434750,1434750,235896.59560246265,,235896.59560246265,235896.59560246265,157762.0,,157762.0,157762.0,832652.1999999998,,832652.1999999998,832652.1999999998,985125.6399999995,,985125.6399999995,985125.6399999995,228248.1594273912,,228248.1594273912,228248.1594273912,284.25,,284.25,284.25,17055.0,,17055,17055
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,285.6333333333333,6504.0,,6504,6504,703734.0,,703734,703734,158169.3056949469,,158169.3056949469,158169.3056949469,135598.0,,135598.0,135598.0,352392.3999999999,,352392.3999999999,352392.3999999999,475855.4400000006,,475855.4400000006,475855.4400000006,96528.57399511428,,96528.57399511428,96528.57399511428,285.6333333333333,,285.6333333333333,285.6333333333333,17138.0,,17138,17138
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,286.55,6556.5,1307.4404384139264,5632,7481,779717.5,150509.7996959002,673291,886144,148434.81495376024,23017.053069181187,132159.3006456116,164710.32926190892,126402.0,10093.24219465678,119265.0,133539.0,330218.6,101236.47786247803,258633.59999999995,401803.6,441427.87999999983,122026.60516875493,355142.0399999998,527713.7199999999,90402.87855987388,27616.00088823353,70875.41706255023,109930.34005719754,286.55,0.0,286.55,286.55,17193.0,0.0,17193,17193
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,286.7,6119.0,,6119,6119,565354.0,,565354,565354,139905.59946517847,,139905.59946517847,139905.59946517847,124689.0,,124689.0,124689.0,290409.35,,290409.35,290409.35,387616.24000000046,,387616.24000000046,387616.24000000046,77447.6462395893,,77447.6462395893,77447.6462395893,286.7,,286.7,286.7,17202.0,,17202,17202
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,287.1166666666667,7114.0,,7114,7114,708149.0,,708149,708149,145606.9389911186,,145606.9389911186,145606.9389911186,129230.0,,129230.0,129230.0,299651.5,,299651.5,299651.5,406590.0800000014,,406590.0800000014,406590.0800000014,81969.62083374735,,81969.62083374735,81969.62083374735,287.1166666666667,,287.1166666666667,287.1166666666667,17227.0,,17227,17227
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,287.35,5325.0,,5325,5325,800083.0,,800083,800083,161543.81851400732,,161543.81851400732,161543.81851400732,140878.0,,140878.0,140878.0,352522.0,,352522.0,352522.0,478856.79999999946,,478856.79999999946,478856.79999999946,98323.89418111857,,98323.89418111857,98323.89418111857,287.35,,287.35,287.35,17241.0,,17241,17241
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,288.85,7826.0,,7826,7826,779029.0,,779029,779029,187827.6181409036,,187827.6181409036,187827.6181409036,150730.0,,150730.0,150730.0,461592.0,,461592.0,461592.0,583983.5000000005,,583983.5000000005,583983.5000000005,126803.04823377292,,126803.04823377292,126803.04823377292,288.85,,288.85,288.85,17331.0,,17331,17331
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,333.8,23683.0,,23683,23683,18134544.0,,18134544,18134544,4263369.135759936,,4263369.135759936,4263369.135759936,4675402.5,,4675402.5,4675402.5,7832158.8,,7832158.8,7832158.8,8561323.379999993,,8561323.379999993,8561323.379999993,2262347.639390444,,2262347.639390444,2262347.639390444,333.8,,333.8,333.8,20028.0,,20028,20028
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,337.28333333333336,9424.0,,9424,9424,3102260.0,,3102260,3102260,577623.7201660326,,577623.7201660326,577623.7201660326,442003.0,,442003.0,442003.0,1453196.6,,1453196.6,1453196.6,1713419.32,,1713419.32,1713419.32,438122.62234587246,,438122.62234587246,438122.62234587246,337.28333333333336,,337.28333333333336,337.28333333333336,20237.0,,20237,20237
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,338.4166666666667,20812.0,,20812,20812,11788260.0,,11788260,11788260,3157612.140162521,,3157612.140162521,3157612.140162521,3789965.0,,3789965.0,3789965.0,4943980.999999999,,4943980.999999999,4943980.999999999,6453400.359999997,,6453400.359999997,6453400.359999997,1636741.1519663762,,1636741.1519663762,1636741.1519663762,338.4166666666667,,338.4166666666667,338.4166666666667,20305.0,,20305,20305
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,338.9166666666667,16899.0,,16899,16899,14031349.0,,14031349,14031349,3798655.063584952,,3798655.063584952,3798655.063584952,3932642.0,,3932642.0,3932642.0,6826043.899999999,,6826043.899999999,6826043.899999999,7774198.659999999,,7774198.659999999,7774198.659999999,2308133.63199009,,2308133.63199009,2308133.63199009,338.9166666666667,,338.9166666666667,338.9166666666667,20335.0,,20335,20335
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,341.1666666666667,26814.0,,26814,26814,13462731.0,,13462731,13462731,3569285.825647289,,3569285.825647289,3569285.825647289,3429844.0,,3429844.0,3429844.0,6289249.3,,6289249.3,6289249.3,6943251.000000028,,6943251.000000028,6943251.000000028,1802102.0206022777,,1802102.0206022777,1802102.0206022777,341.1666666666667,,341.1666666666667,341.1666666666667,20470.0,,20470,20470
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,342.03333333333336,27324.0,,27324,27324,14341821.0,,14341821,14341821,3085986.855618361,,3085986.855618361,3085986.855618361,2823373.0,,2823373.0,2823373.0,6071829.2,,6071829.2,6071829.2,6688148.680000002,,6688148.680000002,6688148.680000002,1845617.6936553912,,1845617.6936553912,1845617.6936553912,342.03333333333336,,342.03333333333336,342.03333333333336,20522.0,,20522,20522
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,342.81666666666666,29516.0,,29516,29516,17730278.0,,17730278,17730278,4209725.826291993,,4209725.826291993,4209725.826291993,3621648.0,,3621648.0,3621648.0,8299087.2,,8299087.2,8299087.2,8851985.64,,8851985.64,8851985.64,2672182.536653088,,2672182.536653088,2672182.536653088,342.81666666666666,,342.81666666666666,342.81666666666666,20569.0,,20569,20569
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,342.95,43420.0,,43420,43420,13195660.0,,13195660,13195660,3729846.653302231,,3729846.653302231,3729846.653302231,4426948.0,,4426948.0,4426948.0,5680844.2,,5680844.2,5680844.2,7225200.880000008,,7225200.880000008,7225200.880000008,1698916.9537854278,,1698916.9537854278,1698916.9537854278,342.95,,342.95,342.95,20577.0,,20577,20577
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,343.25,31541.0,,31541,31541,7269325.0,,7269325,7269325,1570760.6359796068,,1570760.6359796068,1570760.6359796068,1113059.0,,1113059.0,1113059.0,3343537.6999999997,,3343537.6999999997,3343537.6999999997,3671050.6600000006,,3671050.6600000006,3671050.6600000006,1051931.315694196,,1051931.315694196,1051931.315694196,343.25,,343.25,343.25,20595.0,,20595,20595
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,343.81666666666666,28202.0,,28202,28202,15122896.0,,15122896,15122896,2856359.551699064,,2856359.551699064,2856359.551699064,3381566.0,,3381566.0,3381566.0,4957998.2,,4957998.2,4957998.2,5785913.6400000015,,5785913.6400000015,5785913.6400000015,1613344.7583927005,,1613344.7583927005,1613344.7583927005,343.81666666666666,,343.81666666666666,343.81666666666666,20629.0,,20629,20629
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,347.45,16580.0,,16580,16580,9687018.0,,9687018,9687018,1934187.9117379,,1934187.9117379,1934187.9117379,1792810.0,,1792810.0,1792810.0,4820153.800000001,,4820153.800000001,4820153.800000001,5091862.54,,5091862.54,5091862.54,1487302.363197049,,1487302.363197049,1487302.363197049,347.45,,347.45,347.45,20847.0,,20847,20847
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,348.7,25705.0,,25705,25705,10968636.0,,10968636,10968636,2967500.369993309,,2967500.369993309,2967500.369993309,2603066.0,,2603066.0,2603066.0,6007803.7,,6007803.7,6007803.7,6420058.400000003,,6420058.400000003,6420058.400000003,1843522.152667545,,1843522.152667545,1843522.152667545,348.7,,348.7,348.7,20922.0,,20922,20922
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,348.81666666666666,12292.0,,12292,12292,5590164.0,,5590164,5590164,1171335.8154713556,,1171335.8154713556,1171335.8154713556,766850.0,,766850.0,766850.0,2970195.0,,2970195.0,2970195.0,3290482.6000000024,,3290482.6000000024,3290482.6000000024,1057242.7372797204,,1057242.7372797204,1057242.7372797204,348.81666666666666,,348.81666666666666,348.81666666666666,20929.0,,20929,20929
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,349.51666666666665,13500.0,,13500,13500,12077168.0,,12077168,12077168,2464686.910066282,,2464686.910066282,2464686.910066282,2075422.0,,2075422.0,2075422.0,5192599.0,,5192599.0,5192599.0,5737657.499999999,,5737657.499999999,5737657.499999999,1808043.308655816,,1808043.308655816,1808043.308655816,349.51666666666665,,349.51666666666665,349.51666666666665,20971.0,,20971,20971
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,349.9,17768.0,,17768,17768,12872267.0,,12872267,12872267,3188595.0172430216,,3188595.0172430216,3188595.0172430216,3521804.5,,3521804.5,3521804.5,5138920.75,,5138920.75,5138920.75,6586938.6299999785,,6586938.6299999785,6586938.6299999785,1790680.0481000056,,1790680.0481000056,1790680.0481000056,349.9,,349.9,349.9,20994.0,,20994,20994
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,350.76666666666665,15834.0,,15834,15834,13037365.0,,13037365,13037365,2987413.6964743896,,2987413.6964743896,2987413.6964743896,3116393.5,,3116393.5,3116393.5,5332217.75,,5332217.75,5332217.75,5781697.849999998,,5781697.849999998,5781697.849999998,1611666.0365609135,,1611666.0365609135,1611666.0365609135,350.76666666666665,,350.76666666666665,350.76666666666665,21046.0,,21046,21046
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,350.93333333333334,33310.0,,33310,33310,10467605.0,,10467605,10467605,2486714.773841185,,2486714.773841185,2486714.773841185,2485282.5,,2485282.5,2485282.5,4350145.75,,4350145.75,4350145.75,4747243.850000004,,4747243.850000004,4747243.850000004,1305123.4446515432,,1305123.4446515432,1305123.4446515432,350.93333333333334,,350.93333333333334,350.93333333333334,21056.0,,21056,21056
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,351.18333333333334,20307.0,,20307,20307,14356568.0,,14356568,14356568,2748488.810592758,,2748488.810592758,2748488.810592758,2393065.0,,2393065.0,2393065.0,5664891.0,,5664891.0,5664891.0,6204248.299999997,,6204248.299999997,6204248.299999997,1924241.635933722,,1924241.635933722,1924241.635933722,351.18333333333334,,351.18333333333334,351.18333333333334,21071.0,,21071,21071
