statistics_file,runtime,config,series,vcpu_per_pod,memory_per_pod,num_pods,busy_pods,N_in_service,fleet_utilization,total_vcpu,total_memory,concurrency,target_rps,achieved_rps,efficiency_pct,duration_seconds,latency_us,latency_seconds,instance_cost_per_1k,instance_cost_per_pod_per_1k,request_cost_per_1k,cost_difference,percent_savings,cheaper_model
fibonacci_go_b1_statistics.csv,go,B1,B,1.0,1.0,1,1,2.273023747723471,0.02273023747723471,1.0,1.0,100,100.0,98.67,98.7,10.134792743488395,23036.62458420463,0.02303662458420463,0.00020269585486976793,0.00020269585486976793,0.0010104705514814227,-0.0008077746966116547,-398.5156465733598,Instance
fibonacci_go_b1_statistics.csv,go,B1,B,1.0,1.0,1,1,8.642237438219391,0.08642237438219391,1.0,1.0,100,200.0,185.93,93.0,5.3783682030871836,46481.13504124881,0.04648113504124881,0.00010756736406174368,0.00010756736406174368,0.0016317500785930936,-0.00152418271453135,-1416.9564605640692,Instance
fibonacci_go_b1_statistics.csv,go,B1,B,1.0,1.0,1,1,27.69007549768174,0.2769007549768174,1.0,1.0,100,300.0,274.04,91.3,3.649102320829076,101043.91876252276,0.10104391876252276,7.298204641658152e-05,7.298204641658152e-05,0.0030776638472068533,-0.0030046818007902717,-4117.015003442831,Instance
fibonacci_go_b1_statistics.csv,go,B1,B,1.0,1.0,1,1,245.50368256682728,2.4550368256682726,1.0,1.0,100,400.0,353.82,88.5,2.8262958566502743,693866.0408310081,0.6938660408310081,5.652591713300549e-05,5.652591713300549e-05,0.018787450082021716,-0.01873092416488871,-33136.87794010461,Instance
fibonacci_go_b1_statistics.csv,go,B1,B,1.0,1.0,1,1,372.5793483538464,3.725793483538464,1.0,1.0,100,500.0,351.91,70.4,2.841635645477537,1058734.7570510823,1.0587347570510823,5.683271290955074e-05,5.683271290955074e-05,0.028456471061853686,-0.028399638348944135,-49970.58365688465,Instance
fibonacci_go_b2_statistics.csv,go,B2,B,0.5,0.5,2,1,2.3249442378238587,0.02324944237823859,1.0,1.0,50,100.0,98.91,98.9,10.110201193003741,23505.65400691395,0.02350565400691395,0.00020220402386007485,0.00010110201193003742,0.0007114499155916099,-0.000509245891731535,-251.84755575583063,Instance
fibonacci_go_b2_statistics.csv,go,B2,B,0.5,0.5,2,1,6.246842097817319,0.062468420978173185,1.0,1.0,50,200.0,188.36,94.2,5.308982798895731,33164.37724472987,0.03316437724472987,0.00010617965597791463,5.308982798895732e-05,0.0008394279984926708,-0.0007332483425147562,-690.5732889803974,Instance
fibonacci_go_b2_statistics.csv,go,B2,B,0.5,0.5,2,1,13.270846557036684,0.13270846557036683,1.0,1.0,50,300.0,261.15,87.1,3.8292169251388093,50816.950247124965,0.050816950247124966,7.65843385027762e-05,3.82921692513881e-05,0.0010733245907744058,-0.0009967402522716297,-1301.4935844036802,Instance
fibonacci_go_b2_statistics.csv,go,B2,B,0.5,0.5,2,1,22.932891120557336,0.22932891120557336,1.0,1.0,50,400.0,309.6,77.4,3.229974160206718,74072.64573823429,0.07407264573823429,6.459948320413436e-05,3.229974160206718e-05,0.0013814625560316042,-0.00131686307282747,-2038.5040367369236,Instance
fibonacci_go_b2_statistics.csv,go,B2,B,0.5,0.5,2,1,22.717901892819352,0.22717901892819353,1.0,1.0,50,500.0,301.98,60.4,3.3114775812967743,75229.82281217085,0.07522982281217085,6.622955162593549e-05,3.3114775812967744e-05,0.0013967951522612639,-0.0013305656006353283,-2009.0210003992822,Instance
fibonacci_go_b3_statistics.csv,go,B3,B,0.25,0.25,4,1,2.8623240407363495,0.028623240407363495,1.0,1.0,25,100.0,97.7,97.7,10.235414534288639,29297.073088396617,0.029297073088396616,0.0002047082906857728,5.11770726714432e-05,0.0005940931092106276,-0.00038938481852485477,-190.21448384939154,Instance
fibonacci_go_b3_statistics.csv,go,B3,B,0.25,0.25,4,1,8.049303385281346,0.08049303385281346,1.0,1.0,25,200.0,177.31,88.7,5.639839828548869,45396.78182438298,0.04539678182438298,0.00011279679657097739,2.8199199142744347e-05,0.0007007536795865374,-0.0005879568830155599,-521.2531746374447,Instance
fibonacci_go_b3_statistics.csv,go,B3,B,0.25,0.25,4,1,20.708066732281363,0.20708066732281363,1.0,1.0,25,300.0,259.23,86.4,3.857578212398256,79882.98704733774,0.07988298704733773,7.715156424796513e-05,1.9287891061991283e-05,0.0009292247891886124,-0.0008520732249406473,-1104.41471050682,Instance
fibonacci_go_b3_statistics.csv,go,B3,B,0.25,0.25,4,2,34.89721961605811,0.3489721961605811,1.0,1.0,25,400.0,273.06,68.3,3.6621987841500037,127800.55524814365,0.12780055524814365,7.324397568300008e-05,1.831099392075002e-05,0.0012466786785189517,-0.0011734347028359517,-1602.0903997819246,Instance
fibonacci_go_b3_statistics.csv,go,B3,B,0.25,0.25,4,2,32.24766118683272,0.3224766118683272,1.0,1.0,25,500.0,269.74,53.9,3.707273670942389,119550.90526741574,0.11955090526741574,7.414547341884779e-05,1.8536368354711947e-05,0.0011920247473966293,-0.0011178792739777814,-1507.6837768138337,Instance
fibonacci_go_b4_statistics.csv,go,B4,B,0.125,0.125,8,1,3.180924183296427,0.03313462690933778,1.0,1.0,12,100.0,98.61,98.6,10.140959334753068,32257.622789741683,0.03225762278974168,0.00020281918669506137,2.535239833688267e-05,0.0005068533754910194,-0.00030403418879595804,-149.9040567858471,Instance
fibonacci_go_b4_statistics.csv,go,B4,B,0.125,0.125,8,1,10.174727028674635,0.10598673988202745,1.0,1.0,12,200.0,188.09,94.0,5.31660375352225,54094.99191171586,0.05409499191171586,0.000106332075070445,1.3291509383805625e-05,0.0005791896607075588,-0.0004728575856371138,-444.6989164124237,Instance
fibonacci_go_b4_statistics.csv,go,B4,B,0.125,0.125,8,3,26.68655273590461,0.2779849243323397,1.0,1.0,12,300.0,242.24,80.7,4.128137384412153,110165.75601017424,0.11016575601017424,8.256274768824308e-05,1.0320343461030385e-05,0.0007649240667837022,-0.0006823613190954591,-826.47602968842,Instance
fibonacci_go_b4_statistics.csv,go,B4,B,0.125,0.125,8,5,53.57513783512427,0.5580743524492112,1.0,1.0,12,400.0,266.83,66.7,3.747704530974778,200783.7868122935,0.2007837868122935,7.495409061949556e-05,9.369261327436946e-06,0.0010650962938157222,-0.0009901422031962266,-1320.9982203942457,Instance
