2025-08-13T10:50:52+01:00  10:50:52 up 5 days,  1:23,  1 user,  load average: 19.36, 15.44, 11.84
2025-08-13T10:50:57+01:00  10:50:57 up 5 days,  1:23,  1 user,  load average: 18.77, 15.39, 11.84
2025-08-13T10:51:02+01:00  10:51:02 up 5 days,  1:23,  1 user,  load average: 17.75, 15.23, 11.81
2025-08-13T10:51:07+01:00  10:51:07 up 5 days,  1:23,  1 user,  load average: 17.77, 15.28, 11.84
2025-08-13T10:51:12+01:00  10:51:12 up 5 days,  1:23,  1 user,  load average: 18.51, 15.47, 11.92
2025-08-13T10:51:17+01:00  10:51:17 up 5 days,  1:23,  1 user,  load average: 18.71, 15.56, 11.97
2025-08-13T10:51:22+01:00  10:51:22 up 5 days,  1:23,  1 user,  load average: 17.85, 15.44, 11.95
2025-08-13T10:51:27+01:00  10:51:27 up 5 days,  1:23,  1 user,  load average: 16.66, 15.23, 11.90
2025-08-13T10:51:32+01:00  10:51:32 up 5 days,  1:23,  1 user,  load average: 15.49, 15.01, 11.85
2025-08-13T10:51:37+01:00  10:51:37 up 5 days,  1:24,  1 user,  load average: 14.57, 14.83, 11.81
2025-08-13T10:51:42+01:00  10:51:42 up 5 days,  1:24,  1 user,  load average: 13.80, 14.66, 11.77
2025-08-13T10:51:47+01:00  10:51:47 up 5 days,  1:24,  1 user,  load average: 13.66, 14.62, 11.77
2025-08-13T10:51:52+01:00  10:51:52 up 5 days,  1:24,  1 user,  load average: 15.20, 14.93, 11.89
2025-08-13T10:51:57+01:00  10:51:57 up 5 days,  1:24,  1 user,  load average: 15.35, 14.96, 11.91
2025-08-13T10:52:02+01:00  10:52:02 up 5 days,  1:24,  1 user,  load average: 14.92, 14.88, 11.90
2025-08-13T10:52:07+01:00  10:52:07 up 5 days,  1:24,  1 user,  load average: 14.37, 14.76, 11.88
2025-08-13T10:52:12+01:00  10:52:12 up 5 days,  1:24,  1 user,  load average: 14.58, 14.80, 11.91
2025-08-13T10:52:17+01:00  10:52:17 up 5 days,  1:24,  1 user,  load average: 14.37, 14.75, 11.91
2025-08-13T10:52:22+01:00  10:52:22 up 5 days,  1:24,  1 user,  load average: 13.54, 14.58, 11.87
2025-08-13T10:52:27+01:00  10:52:27 up 5 days,  1:24,  1 user,  load average: 13.18, 14.48, 11.85
2025-08-13T10:52:33+01:00  10:52:33 up 5 days,  1:24,  1 user,  load average: 13.24, 14.47, 11.86
2025-08-13T10:52:38+01:00  10:52:38 up 5 days,  1:25,  1 user,  load average: 13.78, 14.57, 11.91
2025-08-13T10:52:43+01:00  10:52:43 up 5 days,  1:25,  1 user,  load average: 14.28, 14.66, 11.95
2025-08-13T10:52:48+01:00  10:52:48 up 5 days,  1:25,  1 user,  load average: 14.82, 14.76, 12.00
2025-08-13T10:52:53+01:00  10:52:53 up 5 days,  1:25,  1 user,  load average: 16.60, 15.13, 12.13
2025-08-13T10:52:58+01:00  10:52:58 up 5 days,  1:25,  1 user,  load average: 17.27, 15.30, 12.20
2025-08-13T10:53:03+01:00  10:53:03 up 5 days,  1:25,  1 user,  load average: 18.53, 15.59, 12.32
2025-08-13T10:53:08+01:00  10:53:08 up 5 days,  1:25,  1 user,  load average: 19.29, 15.80, 12.40
2025-08-13T10:53:13+01:00  10:53:13 up 5 days,  1:25,  1 user,  load average: 18.70, 15.73, 12.40
2025-08-13T10:53:18+01:00  10:53:18 up 5 days,  1:25,  1 user,  load average: 19.05, 15.85, 12.45
2025-08-13T10:53:23+01:00  10:53:23 up 5 days,  1:25,  1 user,  load average: 18.64, 15.82, 12.46
2025-08-13T10:53:28+01:00  10:53:28 up 5 days,  1:25,  1 user,  load average: 19.55, 16.06, 12.56
2025-08-13T10:53:33+01:00  10:53:33 up 5 days,  1:25,  1 user,  load average: 19.03, 16.01, 12.56
2025-08-13T10:53:38+01:00  10:53:38 up 5 days,  1:26,  1 user,  load average: 19.67, 16.19, 12.64
2025-08-13T10:53:43+01:00  10:53:43 up 5 days,  1:26,  1 user,  load average: 19.85, 16.29, 12.69
2025-08-13T10:53:48+01:00  10:53:48 up 5 days,  1:26,  1 user,  load average: 19.31, 16.23, 12.69
2025-08-13T10:53:53+01:00  10:53:53 up 5 days,  1:26,  1 user,  load average: 19.20, 16.26, 12.72
2025-08-13T10:53:58+01:00  10:53:58 up 5 days,  1:26,  1 user,  load average: 19.10, 16.29, 12.75
2025-08-13T10:54:03+01:00  10:54:03 up 5 days,  1:26,  1 user,  load average: 18.53, 16.22, 12.74
2025-08-13T10:54:08+01:00  10:54:08 up 5 days,  1:26,  1 user,  load average: 17.69, 16.08, 12.72
2025-08-13T10:54:13+01:00  10:54:13 up 5 days,  1:26,  1 user,  load average: 17.96, 16.16, 12.76
2025-08-13T10:54:18+01:00  10:54:18 up 5 days,  1:26,  1 user,  load average: 16.76, 15.95, 12.71
2025-08-13T10:54:23+01:00  10:54:23 up 5 days,  1:26,  1 user,  load average: 16.30, 15.86, 12.70
2025-08-13T10:54:28+01:00  10:54:28 up 5 days,  1:26,  1 user,  load average: 16.51, 15.92, 12.73
2025-08-13T10:54:33+01:00  10:54:33 up 5 days,  1:26,  1 user,  load average: 15.51, 15.72, 12.69
2025-08-13T10:54:38+01:00  10:54:38 up 5 days,  1:27,  1 user,  load average: 15.55, 15.72, 12.70
2025-08-13T10:54:43+01:00  10:54:43 up 5 days,  1:27,  1 user,  load average: 14.39, 15.48, 12.64
2025-08-13T10:54:48+01:00  10:54:48 up 5 days,  1:27,  1 user,  load average: 13.63, 15.30, 12.60
2025-08-13T10:54:53+01:00  10:54:53 up 5 days,  1:27,  1 user,  load average: 13.98, 15.35, 12.63
2025-08-13T10:54:58+01:00  10:54:58 up 5 days,  1:27,  1 user,  load average: 14.63, 15.46, 12.68
2025-08-13T10:55:03+01:00  10:55:03 up 5 days,  1:27,  1 user,  load average: 15.86, 15.70, 12.77
2025-08-13T10:55:08+01:00  10:55:08 up 5 days,  1:27,  1 user,  load average: 17.95, 16.14, 12.93
2025-08-13T10:55:13+01:00  10:55:13 up 5 days,  1:27,  1 user,  load average: 18.20, 16.22, 12.97
2025-08-13T10:55:18+01:00  10:55:18 up 5 days,  1:27,  1 user,  load average: 19.38, 16.50, 13.08
2025-08-13T10:55:23+01:00  10:55:23 up 5 days,  1:27,  1 user,  load average: 18.31, 16.32, 13.04
2025-08-13T10:55:28+01:00  10:55:28 up 5 days,  1:27,  1 user,  load average: 20.29, 16.77, 13.20
2025-08-13T10:55:33+01:00  10:55:33 up 5 days,  1:27,  1 user,  load average: 19.22, 16.60, 13.17
2025-08-13T10:55:38+01:00  10:55:38 up 5 days,  1:28,  1 user,  load average: 19.20, 16.64, 13.20
2025-08-13T10:55:43+01:00  10:55:43 up 5 days,  1:28,  1 user,  load average: 19.27, 16.70, 13.24
2025-08-13T10:55:48+01:00  10:55:48 up 5 days,  1:28,  1 user,  load average: 18.77, 16.64, 13.24
2025-08-13T10:55:53+01:00  10:55:53 up 5 days,  1:28,  1 user,  load average: 17.50, 16.41, 13.18
2025-08-13T10:55:58+01:00  10:55:58 up 5 days,  1:28,  1 user,  load average: 16.42, 16.21, 13.13
2025-08-13T10:56:03+01:00  10:56:03 up 5 days,  1:28,  1 user,  load average: 16.55, 16.24, 13.16
2025-08-13T10:56:08+01:00  10:56:08 up 5 days,  1:28,  1 user,  load average: 16.02, 16.13, 13.14
2025-08-13T10:56:13+01:00  10:56:13 up 5 days,  1:28,  1 user,  load average: 16.26, 16.18, 13.17
2025-08-13T10:56:18+01:00  10:56:18 up 5 days,  1:28,  1 user,  load average: 16.72, 16.28, 13.22
2025-08-13T10:56:23+01:00  10:56:23 up 5 days,  1:28,  1 user,  load average: 15.70, 16.07, 13.17
2025-08-13T10:56:28+01:00  10:56:28 up 5 days,  1:28,  1 user,  load average: 14.93, 15.90, 13.13
2025-08-13T10:56:33+01:00  10:56:33 up 5 days,  1:28,  1 user,  load average: 14.37, 15.77, 13.11
2025-08-13T10:56:38+01:00  10:56:38 up 5 days,  1:29,  1 user,  load average: 13.38, 15.54, 13.05
2025-08-13T10:56:43+01:00  10:56:43 up 5 days,  1:29,  1 user,  load average: 12.95, 15.42, 13.02
2025-08-13T10:56:48+01:00  10:56:48 up 5 days,  1:29,  1 user,  load average: 14.56, 15.71, 13.13
2025-08-13T10:56:53+01:00  10:56:53 up 5 days,  1:29,  1 user,  load average: 13.55, 15.48, 13.07
2025-08-13T10:56:58+01:00  10:56:58 up 5 days,  1:29,  1 user,  load average: 14.47, 15.64, 13.13
2025-08-13T10:57:03+01:00  10:57:03 up 5 days,  1:29,  1 user,  load average: 15.07, 15.75, 13.18
2025-08-13T10:57:08+01:00  10:57:08 up 5 days,  1:29,  1 user,  load average: 15.87, 15.90, 13.24
2025-08-13T10:57:13+01:00  10:57:13 up 5 days,  1:29,  1 user,  load average: 15.80, 15.89, 13.25
2025-08-13T10:57:18+01:00  10:57:18 up 5 days,  1:29,  1 user,  load average: 17.25, 16.19, 13.36
2025-08-13T10:57:23+01:00  10:57:23 up 5 days,  1:29,  1 user,  load average: 18.35, 16.43, 13.46
2025-08-13T10:57:28+01:00  10:57:28 up 5 days,  1:29,  1 user,  load average: 18.33, 16.46, 13.48
2025-08-13T10:57:33+01:00  10:57:34 up 5 days,  1:29,  1 user,  load average: 18.30, 16.48, 13.51
2025-08-13T10:57:39+01:00  10:57:39 up 5 days,  1:30,  1 user,  load average: 17.79, 16.41, 13.50
2025-08-13T10:57:44+01:00  10:57:44 up 5 days,  1:30,  1 user,  load average: 17.73, 16.42, 13.52
2025-08-13T10:57:49+01:00  10:57:49 up 5 days,  1:30,  1 user,  load average: 17.51, 16.40, 13.53
2025-08-13T10:57:54+01:00  10:57:54 up 5 days,  1:30,  1 user,  load average: 17.07, 16.32, 13.52
2025-08-13T10:57:59+01:00  10:57:59 up 5 days,  1:30,  1 user,  load average: 15.70, 16.05, 13.45
2025-08-13T10:58:04+01:00  10:58:04 up 5 days,  1:30,  1 user,  load average: 15.97, 16.10, 13.48
2025-08-13T10:58:09+01:00  10:58:09 up 5 days,  1:30,  1 user,  load average: 18.29, 16.58, 13.64
2025-08-13T10:58:14+01:00  10:58:14 up 5 days,  1:30,  1 user,  load average: 18.35, 16.62, 13.67
2025-08-13T10:58:19+01:00  10:58:19 up 5 days,  1:30,  1 user,  load average: 18.88, 16.76, 13.73
2025-08-13T10:58:24+01:00  10:58:24 up 5 days,  1:30,  1 user,  load average: 20.73, 17.18, 13.89
2025-08-13T10:58:29+01:00  10:58:29 up 5 days,  1:30,  1 user,  load average: 20.43, 17.18, 13.90
2025-08-13T10:58:34+01:00  10:58:34 up 5 days,  1:30,  1 user,  load average: 20.08, 17.16, 13.92
2025-08-13T10:58:39+01:00  10:58:39 up 5 days,  1:31,  1 user,  load average: 19.59, 17.10, 13.92
2025-08-13T10:58:44+01:00  10:58:44 up 5 days,  1:31,  1 user,  load average: 19.46, 17.12, 13.94
2025-08-13T10:58:49+01:00  10:58:49 up 5 days,  1:31,  1 user,  load average: 20.63, 17.40, 14.05
2025-08-13T10:58:54+01:00  10:58:54 up 5 days,  1:31,  1 user,  load average: 20.10, 17.34, 14.05
2025-08-13T10:58:59+01:00  10:58:59 up 5 days,  1:31,  1 user,  load average: 20.73, 17.52, 14.12
2025-08-13T10:59:04+01:00  10:59:04 up 5 days,  1:31,  1 user,  load average: 20.19, 17.46, 14.12
2025-08-13T10:59:09+01:00  10:59:09 up 5 days,  1:31,  1 user,  load average: 20.42, 17.55, 14.17
2025-08-13T10:59:14+01:00  10:59:14 up 5 days,  1:31,  1 user,  load average: 22.06, 17.94, 14.31
2025-08-13T10:59:19+01:00  10:59:19 up 5 days,  1:31,  1 user,  load average: 22.14, 18.03, 14.36
2025-08-13T10:59:24+01:00  10:59:24 up 5 days,  1:31,  1 user,  load average: 22.85, 18.24, 14.45
2025-08-13T10:59:29+01:00  10:59:29 up 5 days,  1:31,  1 user,  load average: 23.26, 18.41, 14.52
2025-08-13T10:59:34+01:00  10:59:34 up 5 days,  1:31,  1 user,  load average: 22.36, 18.30, 14.51
2025-08-13T10:59:39+01:00  10:59:39 up 5 days,  1:32,  1 user,  load average: 21.85, 18.26, 14.52
2025-08-13T10:59:44+01:00  10:59:44 up 5 days,  1:32,  1 user,  load average: 22.98, 18.56, 14.63
2025-08-13T10:59:49+01:00  10:59:49 up 5 days,  1:32,  1 user,  load average: 24.03, 18.85, 14.75
2025-08-13T10:59:54+01:00  10:59:54 up 5 days,  1:32,  1 user,  load average: 24.42, 19.01, 14.82
2025-08-13T10:59:59+01:00  10:59:59 up 5 days,  1:32,  1 user,  load average: 23.51, 18.91, 14.81
2025-08-13T11:00:04+01:00  11:00:04 up 5 days,  1:32,  1 user,  load average: 21.63, 18.60, 14.73
2025-08-13T11:00:09+01:00  11:00:09 up 5 days,  1:32,  1 user,  load average: 20.54, 18.42, 14.70
2025-08-13T11:00:14+01:00  11:00:14 up 5 days,  1:32,  1 user,  load average: 19.77, 18.30, 14.68
2025-08-13T11:00:19+01:00  11:00:19 up 5 days,  1:32,  1 user,  load average: 20.51, 18.48, 14.75
2025-08-13T11:00:24+01:00  11:00:24 up 5 days,  1:32,  1 user,  load average: 20.07, 18.42, 14.76
2025-08-13T11:00:29+01:00  11:00:29 up 5 days,  1:32,  1 user,  load average: 19.10, 18.25, 14.72
2025-08-13T11:00:34+01:00  11:00:34 up 5 days,  1:32,  1 user,  load average: 17.89, 18.01, 14.66
2025-08-13T11:00:39+01:00  11:00:39 up 5 days,  1:33,  1 user,  load average: 17.58, 17.94, 14.66
2025-08-13T11:00:44+01:00  11:00:44 up 5 days,  1:33,  1 user,  load average: 18.18, 18.06, 14.71
2025-08-13T11:00:49+01:00  11:00:49 up 5 days,  1:33,  1 user,  load average: 18.40, 18.11, 14.75
2025-08-13T11:00:54+01:00  11:00:54 up 5 days,  1:33,  1 user,  load average: 18.69, 18.17, 14.79
2025-08-13T11:00:59+01:00  11:00:59 up 5 days,  1:33,  1 user,  load average: 18.72, 18.19, 14.81
2025-08-13T11:01:04+01:00  11:01:04 up 5 days,  1:33,  1 user,  load average: 19.86, 18.43, 14.91
2025-08-13T11:01:09+01:00  11:01:09 up 5 days,  1:33,  1 user,  load average: 18.67, 18.21, 14.85
2025-08-13T11:01:14+01:00  11:01:14 up 5 days,  1:33,  1 user,  load average: 19.42, 18.37, 14.93
2025-08-13T11:01:19+01:00  11:01:19 up 5 days,  1:33,  1 user,  load average: 20.10, 18.53, 15.00
2025-08-13T11:01:24+01:00  11:01:24 up 5 days,  1:33,  1 user,  load average: 20.66, 18.67, 15.06
2025-08-13T11:01:29+01:00  11:01:29 up 5 days,  1:33,  1 user,  load average: 20.52, 18.68, 15.08
2025-08-13T11:01:34+01:00  11:01:34 up 5 days,  1:33,  1 user,  load average: 21.76, 18.97, 15.20
2025-08-13T11:01:39+01:00  11:01:39 up 5 days,  1:34,  1 user,  load average: 21.86, 19.04, 15.24
2025-08-13T11:01:44+01:00  11:01:44 up 5 days,  1:34,  1 user,  load average: 21.23, 18.95, 15.23
2025-08-13T11:01:49+01:00  11:01:49 up 5 days,  1:34,  1 user,  load average: 21.37, 19.02, 15.27
2025-08-13T11:01:54+01:00  11:01:54 up 5 days,  1:34,  1 user,  load average: 22.47, 19.28, 15.38
2025-08-13T11:01:59+01:00  11:01:59 up 5 days,  1:34,  1 user,  load average: 21.79, 19.20, 15.37
2025-08-13T11:02:04+01:00  11:02:04 up 5 days,  1:34,  1 user,  load average: 21.88, 19.26, 15.41
2025-08-13T11:02:09+01:00  11:02:09 up 5 days,  1:34,  1 user,  load average: 21.01, 19.12, 15.39
2025-08-13T11:02:15+01:00  11:02:15 up 5 days,  1:34,  1 user,  load average: 19.57, 18.85, 15.32
2025-08-13T11:02:20+01:00  11:02:20 up 5 days,  1:34,  1 user,  load average: 20.49, 19.06, 15.41
2025-08-13T11:02:25+01:00  11:02:25 up 5 days,  1:34,  1 user,  load average: 19.97, 18.97, 15.40
2025-08-13T11:02:30+01:00  11:02:30 up 5 days,  1:34,  1 user,  load average: 20.37, 19.07, 15.45
2025-08-13T11:02:35+01:00  11:02:35 up 5 days,  1:34,  1 user,  load average: 20.42, 19.10, 15.48
2025-08-13T11:02:40+01:00  11:02:40 up 5 days,  1:35,  1 user,  load average: 19.43, 18.92, 15.44
2025-08-13T11:02:45+01:00  11:02:45 up 5 days,  1:35,  1 user,  load average: 18.35, 18.70, 15.39
2025-08-13T11:02:50+01:00  11:02:50 up 5 days,  1:35,  1 user,  load average: 18.00, 18.63, 15.38
2025-08-13T11:02:55+01:00  11:02:55 up 5 days,  1:35,  1 user,  load average: 18.40, 18.70, 15.42
2025-08-13T11:03:00+01:00  11:03:00 up 5 days,  1:35,  1 user,  load average: 17.57, 18.52, 15.38
2025-08-13T11:03:05+01:00  11:03:05 up 5 days,  1:35,  1 user,  load average: 17.68, 18.53, 15.40
2025-08-13T11:03:10+01:00  11:03:10 up 5 days,  1:35,  1 user,  load average: 19.07, 18.80, 15.51
2025-08-13T11:03:15+01:00  11:03:15 up 5 days,  1:35,  1 user,  load average: 19.95, 18.99, 15.58
2025-08-13T11:03:20+01:00  11:03:20 up 5 days,  1:35,  1 user,  load average: 20.91, 19.21, 15.67
2025-08-13T11:03:25+01:00  11:03:25 up 5 days,  1:35,  1 user,  load average: 21.00, 19.25, 15.71
2025-08-13T11:03:30+01:00  11:03:30 up 5 days,  1:35,  1 user,  load average: 22.28, 19.55, 15.82
2025-08-13T11:03:35+01:00  11:03:35 up 5 days,  1:35,  1 user,  load average: 22.66, 19.67, 15.88
2025-08-13T11:03:40+01:00  11:03:40 up 5 days,  1:36,  1 user,  load average: 22.04, 19.59, 15.88
2025-08-13T11:03:45+01:00  11:03:45 up 5 days,  1:36,  1 user,  load average: 21.80, 19.58, 15.89
2025-08-13T11:03:50+01:00  11:03:50 up 5 days,  1:36,  1 user,  load average: 21.02, 19.46, 15.87
2025-08-13T11:03:55+01:00  11:03:55 up 5 days,  1:36,  1 user,  load average: 21.41, 19.57, 15.93
2025-08-13T11:04:00+01:00  11:04:00 up 5 days,  1:36,  1 user,  load average: 22.50, 19.82, 16.03
2025-08-13T11:04:05+01:00  11:04:05 up 5 days,  1:36,  1 user,  load average: 22.54, 19.88, 16.07
2025-08-13T11:04:10+01:00  11:04:10 up 5 days,  1:36,  1 user,  load average: 21.86, 19.78, 16.06
2025-08-13T11:04:15+01:00  11:04:15 up 5 days,  1:36,  1 user,  load average: 21.07, 19.65, 16.04
2025-08-13T11:04:20+01:00  11:04:20 up 5 days,  1:36,  1 user,  load average: 19.46, 19.34, 15.95
2025-08-13T11:04:25+01:00  11:04:25 up 5 days,  1:36,  1 user,  load average: 18.22, 19.08, 15.89
2025-08-13T11:04:30+01:00  11:04:30 up 5 days,  1:36,  1 user,  load average: 17.96, 19.02, 15.88
2025-08-13T11:04:35+01:00  11:04:35 up 5 days,  1:36,  1 user,  load average: 17.01, 18.80, 15.83
2025-08-13T11:04:40+01:00  11:04:40 up 5 days,  1:37,  1 user,  load average: 15.88, 18.54, 15.76
2025-08-13T11:04:45+01:00  11:04:45 up 5 days,  1:37,  1 user,  load average: 18.06, 18.94, 15.91
2025-08-13T11:04:50+01:00  11:04:50 up 5 days,  1:37,  1 user,  load average: 17.25, 18.76, 15.87
2025-08-13T11:04:55+01:00  11:04:55 up 5 days,  1:37,  1 user,  load average: 17.23, 18.73, 15.87
2025-08-13T11:05:00+01:00  11:05:00 up 5 days,  1:37,  1 user,  load average: 16.81, 18.62, 15.85
2025-08-13T11:05:05+01:00  11:05:05 up 5 days,  1:37,  1 user,  load average: 18.35, 18.91, 15.96
2025-08-13T11:05:10+01:00  11:05:10 up 5 days,  1:37,  1 user,  load average: 18.32, 18.89, 15.97
2025-08-13T11:05:15+01:00  11:05:15 up 5 days,  1:37,  1 user,  load average: 18.37, 18.90, 15.99
2025-08-13T11:05:20+01:00  11:05:20 up 5 days,  1:37,  1 user,  load average: 19.71, 19.16, 16.09
2025-08-13T11:05:25+01:00  11:05:25 up 5 days,  1:37,  1 user,  load average: 21.25, 19.49, 16.21
2025-08-13T11:05:30+01:00  11:05:30 up 5 days,  1:37,  1 user,  load average: 21.15, 19.50, 16.23
2025-08-13T11:05:35+01:00  11:05:35 up 5 days,  1:37,  1 user,  load average: 24.02, 20.12, 16.45
2025-08-13T11:05:40+01:00  11:05:40 up 5 days,  1:38,  1 user,  load average: 24.02, 20.19, 16.49
2025-08-13T11:05:45+01:00  11:05:45 up 5 days,  1:38,  1 user,  load average: 23.94, 20.24, 16.53
2025-08-13T11:05:50+01:00  11:05:50 up 5 days,  1:38,  1 user,  load average: 23.06, 20.11, 16.51
2025-08-13T11:05:55+01:00  11:05:55 up 5 days,  1:38,  1 user,  load average: 23.22, 20.20, 16.56
2025-08-13T11:06:00+01:00  11:06:00 up 5 days,  1:38,  1 user,  load average: 23.20, 20.24, 16.59
2025-08-13T11:06:05+01:00  11:06:05 up 5 days,  1:38,  1 user,  load average: 23.18, 20.29, 16.63
2025-08-13T11:06:10+01:00  11:06:10 up 5 days,  1:38,  1 user,  load average: 21.97, 20.08, 16.58
2025-08-13T11:06:15+01:00  11:06:15 up 5 days,  1:38,  1 user,  load average: 22.29, 20.18, 16.63
2025-08-13T11:06:20+01:00  11:06:20 up 5 days,  1:38,  1 user,  load average: 21.63, 20.08, 16.62
2025-08-13T11:06:25+01:00  11:06:25 up 5 days,  1:38,  1 user,  load average: 22.14, 20.21, 16.68
2025-08-13T11:06:30+01:00  11:06:30 up 5 days,  1:38,  1 user,  load average: 20.92, 19.99, 16.63
2025-08-13T11:06:36+01:00  11:06:36 up 5 days,  1:39,  1 user,  load average: 20.77, 19.98, 16.64
2025-08-13T11:06:41+01:00  11:06:41 up 5 days,  1:39,  1 user,  load average: 20.71, 19.98, 16.66
2025-08-13T11:06:46+01:00  11:06:46 up 5 days,  1:39,  1 user,  load average: 20.57, 19.96, 16.67
2025-08-13T11:06:51+01:00  11:06:51 up 5 days,  1:39,  1 user,  load average: 19.64, 19.78, 16.63
2025-08-13T11:06:56+01:00  11:06:56 up 5 days,  1:39,  1 user,  load average: 19.99, 19.85, 16.67
2025-08-13T11:07:01+01:00  11:07:01 up 5 days,  1:39,  1 user,  load average: 18.79, 19.60, 16.60
2025-08-13T11:07:06+01:00  11:07:06 up 5 days,  1:39,  1 user,  load average: 18.09, 19.44, 16.57
2025-08-13T11:07:11+01:00  11:07:11 up 5 days,  1:39,  1 user,  load average: 18.96, 19.60, 16.64
2025-08-13T11:07:16+01:00  11:07:16 up 5 days,  1:39,  1 user,  load average: 18.64, 19.52, 16.63
2025-08-13T11:07:21+01:00  11:07:21 up 5 days,  1:39,  1 user,  load average: 18.43, 19.47, 16.62
2025-08-13T11:07:26+01:00  11:07:26 up 5 days,  1:39,  1 user,  load average: 20.96, 19.97, 16.80
2025-08-13T11:07:31+01:00  11:07:31 up 5 days,  1:39,  1 user,  load average: 19.84, 19.76, 16.75
2025-08-13T11:07:36+01:00  11:07:36 up 5 days,  1:40,  1 user,  load average: 18.41, 19.46, 16.67
2025-08-13T11:07:41+01:00  11:07:41 up 5 days,  1:40,  1 user,  load average: 19.26, 19.62, 16.74
2025-08-13T11:07:46+01:00  11:07:46 up 5 days,  1:40,  1 user,  load average: 20.92, 19.96, 16.86
2025-08-13T11:07:51+01:00  11:07:51 up 5 days,  1:40,  1 user,  load average: 22.53, 20.31, 16.99
2025-08-13T11:07:56+01:00  11:07:56 up 5 days,  1:40,  1 user,  load average: 23.37, 20.52, 17.08
2025-08-13T11:08:01+01:00  11:08:01 up 5 days,  1:40,  1 user,  load average: 22.94, 20.48, 17.08
2025-08-13T11:08:06+01:00  11:08:06 up 5 days,  1:40,  1 user,  load average: 23.34, 20.60, 17.14
2025-08-13T11:08:11+01:00  11:08:11 up 5 days,  1:40,  1 user,  load average: 23.64, 20.71, 17.20
2025-08-13T11:08:16+01:00  11:08:16 up 5 days,  1:40,  1 user,  load average: 24.63, 20.96, 17.30
2025-08-13T11:08:21+01:00  11:08:21 up 5 days,  1:40,  1 user,  load average: 25.81, 21.33, 17.46
2025-08-13T11:08:26+01:00  11:08:26 up 5 days,  1:40,  1 user,  load average: 25.34, 21.31, 17.47
2025-08-13T11:08:31+01:00  11:08:31 up 5 days,  1:40,  1 user,  load average: 24.83, 21.27, 17.48
2025-08-13T11:08:36+01:00  11:08:36 up 5 days,  1:41,  1 user,  load average: 23.49, 21.05, 17.43
2025-08-13T11:08:41+01:00  11:08:41 up 5 days,  1:41,  1 user,  load average: 22.97, 20.98, 17.42
2025-08-13T11:08:46+01:00  11:08:46 up 5 days,  1:41,  1 user,  load average: 22.97, 21.01, 17.45
2025-08-13T11:08:51+01:00  11:08:51 up 5 days,  1:41,  1 user,  load average: 22.41, 20.93, 17.45
2025-08-13T11:08:56+01:00  11:08:56 up 5 days,  1:41,  1 user,  load average: 21.58, 20.78, 17.42
2025-08-13T11:09:01+01:00  11:09:01 up 5 days,  1:41,  1 user,  load average: 20.89, 20.65, 17.39
2025-08-13T11:09:06+01:00  11:09:06 up 5 days,  1:41,  1 user,  load average: 20.18, 20.51, 17.36
2025-08-13T11:09:11+01:00  11:09:11 up 5 days,  1:41,  1 user,  load average: 19.60, 20.38, 17.34
2025-08-13T11:09:16+01:00  11:09:16 up 5 days,  1:41,  1 user,  load average: 19.15, 20.28, 17.32
2025-08-13T11:09:21+01:00  11:09:21 up 5 days,  1:41,  1 user,  load average: 19.94, 20.42, 17.38
2025-08-13T11:09:26+01:00  11:09:26 up 5 days,  1:41,  1 user,  load average: 20.35, 20.50, 17.43
2025-08-13T11:09:31+01:00  11:09:31 up 5 days,  1:41,  1 user,  load average: 20.96, 20.62, 17.48
2025-08-13T11:09:36+01:00  11:09:36 up 5 days,  1:42,  1 user,  load average: 19.52, 20.33, 17.40
2025-08-13T11:09:41+01:00  11:09:41 up 5 days,  1:42,  1 user,  load average: 19.64, 20.34, 17.42
2025-08-13T11:09:46+01:00  11:09:46 up 5 days,  1:42,  1 user,  load average: 18.31, 20.05, 17.35
2025-08-13T11:09:51+01:00  11:09:51 up 5 days,  1:42,  1 user,  load average: 19.96, 20.37, 17.46
2025-08-13T11:09:56+01:00  11:09:56 up 5 days,  1:42,  1 user,  load average: 20.45, 20.46, 17.51
2025-08-13T11:10:02+01:00  11:10:02 up 5 days,  1:42,  1 user,  load average: 22.09, 20.80, 17.64
2025-08-13T11:10:07+01:00  11:10:07 up 5 days,  1:42,  1 user,  load average: 22.33, 20.87, 17.68
2025-08-13T11:10:12+01:00  11:10:12 up 5 days,  1:42,  1 user,  load average: 22.78, 20.99, 17.73
2025-08-13T11:10:17+01:00  11:10:17 up 5 days,  1:42,  1 user,  load average: 22.40, 20.94, 17.73
2025-08-13T11:10:22+01:00  11:10:22 up 5 days,  1:42,  1 user,  load average: 22.53, 20.99, 17.77
2025-08-13T11:10:27+01:00  11:10:27 up 5 days,  1:42,  1 user,  load average: 22.72, 21.06, 17.81
2025-08-13T11:10:32+01:00  11:10:32 up 5 days,  1:42,  1 user,  load average: 21.31, 20.79, 17.74
2025-08-13T11:10:37+01:00  11:10:37 up 5 days,  1:43,  1 user,  load average: 22.40, 21.03, 17.83
2025-08-13T11:10:42+01:00  11:10:42 up 5 days,  1:43,  1 user,  load average: 21.41, 20.85, 17.79
2025-08-13T11:10:47+01:00  11:10:47 up 5 days,  1:43,  1 user,  load average: 21.22, 20.81, 17.79
2025-08-13T11:10:52+01:00  11:10:52 up 5 days,  1:43,  1 user,  load average: 21.20, 20.82, 17.81
2025-08-13T11:10:57+01:00  11:10:57 up 5 days,  1:43,  1 user,  load average: 19.58, 20.49, 17.72
