timestamp,pod_count,cpu_usage_millicores,memory_usage_mib
2025-09-03T15:19:58.128258,1,1,49
2025-09-03T15:20:00.328517,1,1,49
2025-09-03T15:20:02.569733,1,1,49
2025-09-03T15:20:04.808450,1,1,49
2025-09-03T15:20:07.037801,1,1,49
2025-09-03T15:20:09.243377,1,1,49
2025-09-03T15:20:11.508079,1,1,49
2025-09-03T15:20:13.737814,1,15,49
2025-09-03T15:20:15.954520,1,15,49
2025-09-03T15:20:18.140082,1,15,49
2025-09-03T15:20:20.330108,1,15,49
2025-09-03T15:20:22.508700,1,15,49
2025-09-03T15:20:24.697769,1,15,49
2025-09-03T15:20:26.926599,1,15,49
2025-09-03T15:20:29.106439,1,61,50
2025-09-03T15:20:31.303239,1,61,50
2025-09-03T15:20:33.513425,1,61,50
2025-09-03T15:20:35.743131,1,61,50
2025-09-03T15:20:37.960429,1,61,50
2025-09-03T15:20:40.175727,1,61,50
2025-09-03T15:20:42.425947,1,61,50
2025-09-03T15:20:44.757244,1,71,51
2025-09-03T15:20:47.017298,1,71,51
2025-09-03T15:20:49.221840,1,71,51
2025-09-03T15:20:51.421777,1,71,51
2025-09-03T15:20:53.617155,1,71,51
2025-09-03T15:20:55.839578,1,71,51
2025-09-03T15:20:58.047266,1,73,51
2025-09-03T15:21:00.253264,1,73,51
2025-09-03T15:21:02.437785,1,73,51
2025-09-03T15:21:04.619001,1,73,51
2025-09-03T15:21:06.822310,1,73,51
2025-09-03T15:21:09.036956,1,73,51
2025-09-03T15:21:11.234969,1,73,51
2025-09-03T15:21:13.427858,1,66,51
2025-09-03T15:21:15.625797,1,66,51
2025-09-03T15:21:17.832659,1,66,51
2025-09-03T15:21:20.037460,1,66,51
2025-09-03T15:21:22.238662,1,66,51
2025-09-03T15:21:24.459557,1,66,51
2025-09-03T15:21:26.682024,1,66,51
2025-09-03T15:21:28.897119,1,62,51
2025-09-03T15:21:31.130394,1,62,51
2025-09-03T15:21:33.384622,1,62,51
2025-09-03T15:21:35.593005,1,62,51
2025-09-03T15:21:37.789297,1,62,51
2025-09-03T15:21:39.989716,1,62,51
2025-09-03T15:21:42.193111,1,62,51
2025-09-03T15:21:44.381807,1,61,52
2025-09-03T15:21:46.720861,1,61,52
2025-09-03T15:21:48.936925,1,61,52
2025-09-03T15:21:51.162291,1,61,52
2025-09-03T15:21:53.361796,1,61,52
2025-09-03T15:21:55.563241,1,61,52
2025-09-03T15:21:57.760582,1,61,52
2025-09-03T15:21:59.965175,1,61,52
2025-09-03T15:22:02.178077,1,61,52
2025-09-03T15:22:04.364279,1,61,52
2025-09-03T15:22:06.617832,1,61,52
2025-09-03T15:22:08.824895,1,61,52
2025-09-03T15:22:11.035504,1,61,52
2025-09-03T15:22:13.233937,1,55,53
2025-09-03T15:22:15.573735,1,55,53
2025-09-03T15:22:17.785733,1,55,53
2025-09-03T15:22:20.057932,1,55,53
2025-09-03T15:22:22.279806,1,55,53
2025-09-03T15:22:24.485785,1,55,53
2025-09-03T15:22:26.693921,1,55,53
2025-09-03T15:22:28.917802,1,65,53
2025-09-03T15:22:31.128858,1,65,53
