timestamp,pod_count,ready_pods,cpu_usage_millicores,memory_usage_mib,pod_details
2025-09-05T17:51:29.619938,10,10,69,142,"fibonacci-go-b5-00001-deployment-7fdd4669f9-4mtxk:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-9hb85:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-jnkhm:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-k59n9:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-p4sxr:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-qhd6t:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-s6j2n:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-tzmz7:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-vq852:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-w42j4:Ready"
2025-09-05T17:51:31.971453,10,10,69,142,"fibonacci-go-b5-00001-deployment-7fdd4669f9-4mtxk:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-9hb85:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-jnkhm:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-k59n9:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-p4sxr:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-qhd6t:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-s6j2n:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-tzmz7:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-vq852:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-w42j4:Ready"
2025-09-05T17:51:34.341507,10,10,69,142,"fibonacci-go-b5-00001-deployment-7fdd4669f9-4mtxk:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-9hb85:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-jnkhm:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-k59n9:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-p4sxr:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-qhd6t:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-s6j2n:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-tzmz7:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-vq852:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-w42j4:Ready"
2025-09-05T17:51:36.689742,10,10,69,142,"fibonacci-go-b5-00001-deployment-7fdd4669f9-4mtxk:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-9hb85:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-jnkhm:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-k59n9:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-p4sxr:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-qhd6t:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-s6j2n:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-tzmz7:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-vq852:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-w42j4:Ready"
2025-09-05T17:51:39.114846,10,10,69,142,"fibonacci-go-b5-00001-deployment-7fdd4669f9-4mtxk:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-9hb85:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-jnkhm:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-k59n9:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-p4sxr:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-qhd6t:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-s6j2n:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-tzmz7:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-vq852:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-w42j4:Ready"
2025-09-05T17:51:41.417445,10,10,69,142,"fibonacci-go-b5-00001-deployment-7fdd4669f9-4mtxk:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-9hb85:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-jnkhm:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-k59n9:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-p4sxr:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-qhd6t:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-s6j2n:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-tzmz7:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-vq852:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-w42j4:Ready"
2025-09-05T17:51:43.800336,10,10,83,154,"fibonacci-go-b5-00001-deployment-7fdd4669f9-4mtxk:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-9hb85:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-jnkhm:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-k59n9:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-p4sxr:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-qhd6t:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-s6j2n:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-tzmz7:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-vq852:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-w42j4:Ready"
2025-09-05T17:51:46.154997,10,10,83,154,"fibonacci-go-b5-00001-deployment-7fdd4669f9-4mtxk:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-9hb85:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-jnkhm:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-k59n9:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-p4sxr:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-qhd6t:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-s6j2n:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-tzmz7:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-vq852:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-w42j4:Ready"
2025-09-05T17:51:48.450902,10,10,83,154,"fibonacci-go-b5-00001-deployment-7fdd4669f9-4mtxk:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-9hb85:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-jnkhm:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-k59n9:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-p4sxr:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-qhd6t:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-s6j2n:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-tzmz7:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-vq852:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-w42j4:Ready"
2025-09-05T17:51:50.822723,10,10,83,154,"fibonacci-go-b5-00001-deployment-7fdd4669f9-4mtxk:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-9hb85:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-jnkhm:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-k59n9:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-p4sxr:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-qhd6t:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-s6j2n:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-tzmz7:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-vq852:Ready|fibonacci-go-b5-00001-deployment-7fdd4669f9-w42j4:Ready"
