min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
5955,93185,21834.29691409508,21242.0,34478.7,49364.59999999993,8540.307736284498,19.983333333333334,19.983333333333334,1199,target_rps20.00_iter01_rps19.98_lat.csv
5011,97941,23070.009174311926,22560.0,38228.899999999994,50993.51999999999,8944.052279778001,19.983333333333334,19.983333333333334,1199,target_rps20.00_iter02_rps19.98_lat.csv
5264,144905,24797.105833333335,23530.5,37311.59999999999,49948.51999999999,8424.058352597398,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4279,525773,27150.505016722407,23290.5,44582.95,90794.69000000032,34194.99199186269,39.86666666666667,39.86666666666667,2392,target_rps40.00_iter01_rps39.87_lat.csv
4563,122942,24390.38795986622,23576.5,42210.899999999994,57967.86000000001,11042.537685397938,39.86666666666667,39.86666666666667,2392,target_rps40.00_iter02_rps39.87_lat.csv
4561,118323,25454.984107068172,24120.0,45303.5,69550.99999999983,12947.047529471884,39.85,39.85,2391,target_rps40.00_iter03_rps39.85_lat.csv
3447,106183,22697.300669344044,23070.0,43886.299999999996,58927.51999999999,12963.885765241446,62.25,62.25,3735,target_rps60.00_iter01_rps62.25_lat.csv
3974,1078268,24611.07418397626,22714.0,46701.799999999996,69412.38000000006,41777.728127634,61.78333333333333,61.78333333333333,3707,target_rps60.00_iter02_rps61.78_lat.csv
3317,242894,23520.491507144783,22894.0,48458.19999999998,76883.72000000006,16534.14009499048,61.81666666666667,61.81666666666667,3709,target_rps60.00_iter03_rps61.82_lat.csv
3855,267595,28998.770871419867,26286.0,59230.399999999994,111607.03999999986,21471.969141067402,82.05,82.05,4923,target_rps80.00_iter01_rps82.05_lat.csv
3579,148971,24258.197435375536,22265.0,53159.6,88376.48000000001,17110.17270783963,81.88333333333334,81.88333333333334,4913,target_rps80.00_iter02_rps81.88_lat.csv
3928,109012,24316.995119967465,23443.5,50344.6,73385.02999999997,14874.480993757341,81.96666666666667,81.96666666666667,4918,target_rps80.00_iter03_rps81.97_lat.csv
4286,556447,30092.3332199932,25828.0,62105.9,115128.20999999989,32956.6431933291,98.03333333333333,98.03333333333333,5882,target_rps100.00_iter01_rps98.03_lat.csv
3668,149805,23602.714188267393,21025.5,56465.999999999985,86261.16999999997,18133.67749398419,97.73333333333333,97.73333333333333,5864,target_rps100.00_iter02_rps97.73_lat.csv
3394,235756,24738.653047327203,22458.5,55278.399999999994,85667.51999999996,18367.124415774702,97.9,97.9,5874,target_rps100.00_iter03_rps97.90_lat.csv
3846,212390,29046.68068965517,25525.0,67228.89999999982,112252.27000000012,21741.96494485768,120.83333333333333,120.83333333333333,7250,target_rps120.00_iter01_rps120.83_lat.csv
3535,158387,25649.375360923965,21957.0,61652.79999999998,94118.4,19315.584409395527,121.21666666666667,121.21666666666667,7273,target_rps120.00_iter02_rps121.22_lat.csv
