statistics_file,runtime,config,series,vcpu_per_pod,memory_per_pod,num_pods,busy_pods,N_in_service,fleet_utilization,total_vcpu,total_memory,concurrency,target_rps,achieved_rps,efficiency_pct,duration_seconds,latency_us,latency_seconds,instance_cost_per_1k,instance_cost_per_pod_per_1k,request_cost_per_1k,cost_difference,percent_savings,cheaper_model
fibonacci_go_a1_statistics.csv,go,A1,A,1.0,1.0,1,1,2.818946590476764,2.818946590476764,1.0,1.0,1,100.0,98.3,98.3,10.172939979654121,28676.974470770743,0.028676974470770743,0.00020345879959308242,0.00020345879959308242,0.0011599398234754246,-0.0009564810238823422,-470.1104232381711,Instance
fibonacci_go_a1_statistics.csv,go,A1,A,1.0,1.0,1,1,1173.2689712947729,1173.2689712947729,1.0,1.0,1,200.0,122.38,61.2,8.171269815329303,9587097.33040344,9.58709733040344,0.00016342539630658607,0.00016342539630658607,0.25445807925569114,-0.25429465385938455,-155602.8986965574,Instance
fibonacci_go_a1_statistics.csv,go,A1,A,1.0,1.0,1,1,2081.429106338532,2081.429106338532,1.0,1.0,1,300.0,117.59,39.2,8.504124500382686,17700732.25902315,17.700732259023148,0.00017008249000765373,0.00017008249000765373,0.4694694048641135,-0.4692993223741058,-275924.5365898555,Instance
fibonacci_go_a1_statistics.csv,go,A1,A,1.0,1.0,1,1,2037.43857269712,2037.43857269712,1.0,1.0,1,400.0,97.97,24.5,10.207206287639073,20796555.809912425,20.796555809912423,0.00020414412575278147,0.00020414412575278147,0.5515087289626792,-0.5513045848369265,-270056.5508823684,Instance
fibonacci_go_a1_statistics.csv,go,A1,A,1.0,1.0,1,1,1048.2785302312018,1048.2785302312018,1.0,1.0,1,500.0,101.13,20.2,9.888262632255513,10365653.418680925,10.365653418680925,0.00019776525264511026,0.00019776525264511026,0.27508981559504453,-0.27489205034239944,-138999.16525563426,Instance
fibonacci_go_a2_statistics.csv,go,A2,A,0.5,0.5,1,1,2.538318782379159,2.538318782379159,0.5,0.5,1,100.0,99.11,99.1,10.089799212995661,25611.126852781348,0.025611126852781347,0.00010089799212995662,0.00010089799212995662,0.0007393474307993528,-0.0006384494386693962,-632.7672386652386,Instance
fibonacci_go_a2_statistics.csv,go,A2,A,0.5,0.5,1,1,1173.7835532417207,1173.7835532417207,0.5,0.5,1,200.0,134.27,67.1,7.447680047665152,8741964.34975587,8.74196434975587,7.447680047665153e-05,7.447680047665153e-05,0.11623102763426528,-0.11615655083378863,-155963.40080452798,Instance
fibonacci_go_a2_statistics.csv,go,A2,A,0.5,0.5,1,1,2193.640308573454,2193.640308573454,0.5,0.5,1,300.0,117.14,39.0,8.536793580331228,18726654.503785677,18.726654503785678,8.536793580331228e-05,8.536793580331228e-05,0.24852817217516024,-0.24844280423935694,-291025.90088598273,Instance
fibonacci_go_a2_statistics.csv,go,A2,A,0.5,0.5,1,1,2074.8064740894874,2074.8064740894874,0.5,0.5,1,400.0,103.61,25.9,9.651578033008397,20025156.588065702,20.025156588065702,9.651578033008398e-05,9.651578033008398e-05,0.26573332479187056,-0.26563680901154046,-275226.29781685706,Instance
fibonacci_go_a2_statistics.csv,go,A2,A,0.5,0.5,1,1,2059.815682590458,2059.815682590458,0.5,0.5,1,500.0,106.81,21.4,9.362419249133977,19284857.996352945,19.284857996352944,9.362419249133977e-05,9.362419249133977e-05,0.25592436845167654,-0.2558307442591852,-273252.81794323574,Instance
fibonacci_go_a3_statistics.csv,go,A3,A,0.25,0.25,1,1,2.739819843954022,2.739819843954022,0.25,0.25,1,100.0,99.15,99.1,10.085728693898133,27633.079616278585,0.027633079616278585,5.042864346949067e-05,5.042864346949067e-05,0.0005830691524578457,-0.0005326405089883551,-1056.2261293239083,Instance
fibonacci_go_a3_statistics.csv,go,A3,A,0.25,0.25,1,1,1223.276019656666,1223.276019656666,0.25,0.25,1,200.0,132.64,66.3,7.539203860072377,9222527.289329508,9.22252728932951,3.769601930036189e-05,3.769601930036189e-05,0.061499243291807996,-0.06146154727250763,-163045.1926045082,Instance
fibonacci_go_a3_statistics.csv,go,A3,A,0.25,0.25,1,1,2197.2095554347275,2197.2095554347275,0.25,0.25,1,300.0,116.4,38.8,8.59106529209622,18876370.75115745,18.876370751157452,4.29553264604811e-05,4.29553264604811e-05,0.12545595622641814,-0.12541300089995766,-291961.46609510144,Instance
fibonacci_go_a3_statistics.csv,go,A3,A,0.25,0.25,1,1,2085.81530635649,2085.81530635649,0.25,0.25,1,400.0,99.59,24.9,10.041168792047394,20944023.56016156,20.94402356016156,5.0205843960236973e-05,5.0205843960236973e-05,0.13915415608607035,-0.1391039502421101,-277067.24809223495,Instance
fibonacci_go_a3_statistics.csv,go,A3,A,0.25,0.25,1,1,949.5172848103497,949.5172848103497,0.25,0.25,1,500.0,102.88,20.6,9.720062208398135,9229367.076305889,9.229367076305888,4.8600311041990675e-05,4.8600311041990675e-05,0.0615445568805265,-0.061495956569484506,-126534.0802373713,Instance
fibonacci_go_a4_statistics.csv,go,A4,A,0.125,0.125,1,1,2.581970676801471,2.581970676801471,0.125,0.125,1,100.0,99.32,99.3,10.068465565847765,25996.48285140426,0.02599648285140426,2.5171163914619413e-05,2.5171163914619413e-05,0.00048611334944527663,-0.00046094218553065724,-1831.231114676195,Instance
fibonacci_go_a4_statistics.csv,go,A4,A,0.125,0.125,1,1,1203.42697499505,1203.42697499505,0.125,0.125,1,200.0,132.54,66.3,7.5448921080428555,9079726.68624604,9.079726686246039,1.886223027010714e-05,1.886223027010714e-05,0.030476594648190004,-0.030457732417919898,-161474.7141868441,Instance
