target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,32.78,34.17,31.33,32.76,31.33,34.17,81.9
60.00,28.78,,,28.78,28.78,28.78,48.0

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,32.78,40.00
Max Iter2,34.17,40.00
Max Iter3,31.33,40.00
Overall Max,34.17,40.00
Avg of Max,32.76,
