statistics_file,runtime,config,series,vcpu_per_pod,memory_per_pod,num_pods,busy_pods,N_in_service,fleet_utilization,total_vcpu,total_memory,concurrency,target_rps,achieved_rps,efficiency_pct,duration_seconds,latency_us,latency_seconds,instance_cost_per_1k,instance_cost_per_pod_per_1k,request_cost_per_1k,cost_difference,percent_savings,cheaper_model
fibonacci_go_c1_statistics.csv,go,C1,C,2.0,2.0,1,1,0.5236448160164601,0.0026182240800823003,2.0,2.0,200,100.0,99.47,99.5,10.053282396702523,5264.34921098281,0.00526434921098281,0.0004021312958681009,0.0004021312958681009,0.0006790105081820889,-0.000276879212313988,-68.85293812218097,Instance
fibonacci_go_c1_statistics.csv,go,C1,C,2.0,2.0,1,1,1.0104678589778833,0.005052339294889416,2.0,2.0,200,200.0,196.45,98.2,5.090353779587682,5143.63888509994,0.00514363888509994,0.0002036141511835073,0.0002036141511835073,0.0006726128609102968,-0.0004689987097267895,-230.33699131456942,Instance
fibonacci_go_c1_statistics.csv,go,C1,C,2.0,2.0,1,1,2.8260571221896345,0.014130285610948172,2.0,2.0,200,300.0,319.39,106.5,3.130968408528758,8848.295570273442,0.008848295570273442,0.00012523873634115034,0.00012523873634115034,0.0008689596652244926,-0.0007437209288833422,-593.8425686901267,Instance
fibonacci_go_c1_statistics.csv,go,C1,C,2.0,2.0,1,1,11.01421182128207,0.055071059106410344,2.0,2.0,200,400.0,453.82,113.5,2.203516812833282,24270.00092830212,0.024270000928302123,8.814067251333128e-05,8.814067251333128e-05,0.0016863100492000124,-0.0015981693766866812,-1813.203066319874,Instance
fibonacci_go_c1_statistics.csv,go,C1,C,2.0,2.0,1,1,10.543146710908184,0.05271573355454092,2.0,2.0,200,500.0,455.93,91.2,2.1933191498694975,23124.485580918525,0.023124485580918525,8.773276599477991e-05,8.773276599477991e-05,0.0016255977357886818,-0.001537864969793902,-1752.896939195334,Instance
fibonacci_go_c2_statistics.csv,go,C2,C,1.0,1.0,2,1,0.5380581596753302,0.002690290798376651,2.0,2.0,100,100.0,99.72,99.7,10.028078620136382,5395.689527430106,0.005395689527430106,0.0004011231448054553,0.00020056157240272765,0.0005429857724768978,-0.00014186262767144252,-35.36635307849062,Instance
fibonacci_go_c2_statistics.csv,go,C2,C,1.0,1.0,2,1,1.1337436907824152,0.005668718453912076,2.0,2.0,100,200.0,196.5,98.2,5.089058524173028,5769.68799380364,0.00576968799380364,0.00020356234096692113,0.00010178117048346057,0.0005528967318357965,-0.0003493343908688753,-171.61051951433498,Instance
fibonacci_go_c2_statistics.csv,go,C2,C,1.0,1.0,2,1,2.120513935927181,0.010602569679635904,2.0,2.0,100,300.0,319.05,106.3,3.134304967873374,6646.337363821284,0.006646337363821284,0.00012537219871493497,6.268609935746749e-05,0.0005761279401412641,-0.0004507557414263291,-359.5340482551757,Instance
fibonacci_go_c2_statistics.csv,go,C2,C,1.0,1.0,2,1,4.162070122433658,0.02081035061216829,2.0,2.0,100,400.0,460.37,115.1,2.1721658665855723,9040.706654286025,0.009040706654286025,8.68866346634229e-05,4.344331733171145e-05,0.0006395787263385797,-0.0005526920916751568,-636.1071456112298,Instance
fibonacci_go_c2_statistics.csv,go,C2,C,1.0,1.0,2,1,4.67719668726068,0.0233859834363034,2.0,2.0,100,500.0,452.73,90.5,2.208822035208623,10331.095105826163,0.010331095105826164,8.835288140834493e-05,4.417644070417247e-05,0.0006737740203043934,-0.0005854211388960484,-662.59428053102,Instance
fibonacci_go_c3_statistics.csv,go,C3,C,0.5,0.5,4,1,0.5355783091753389,0.0026778915458766945,2.0,2.0,50,100.0,99.68,99.7,10.03210272873194,5372.976616927556,0.005372976616927557,0.0004012841091492777,0.00010032102728731942,0.00047119194017429013,-6.990783102501244e-05,-17.4210314914331,Instance
fibonacci_go_c3_statistics.csv,go,C3,C,0.5,0.5,4,1,1.098051654503365,0.005490258272516825,2.0,2.0,50,200.0,196.02,98.0,5.101520253035404,5601.732754327951,0.005601732754327951,0.00020406081012141618,5.1015202530354045e-05,0.0004742229589948454,-0.0002701621488734292,-132.392961055424,Instance
fibonacci_go_c3_statistics.csv,go,C3,C,0.5,0.5,4,1,2.201939996947489,0.011009699984737444,2.0,2.0,50,300.0,318.73,106.2,3.137451761679164,6908.480522534713,0.006908480522534712,0.0001254980704671666,3.137451761679165e-05,0.000491537366923585,-0.00036603929645641836,-291.6692623988855,Instance
fibonacci_go_c3_statistics.csv,go,C3,C,0.5,0.5,4,1,4.6977327427064415,0.02348866371353221,2.0,2.0,50,400.0,455.39,113.8,2.1959199806759044,10315.845193584491,0.010315845193584491,8.783679922703619e-05,2.1959199806759047e-05,0.0005366849488149945,-0.0004488481495879583,-511.00239710215067,Instance
fibonacci_go_c3_statistics.csv,go,C3,C,0.5,0.5,4,1,4.688127249396508,0.02344063624698254,2.0,2.0,50,500.0,450.34,90.1,2.2205444775058845,10410.195073492268,0.010410195073492268,8.882177910023539e-05,2.2205444775058846e-05,0.0005379350847237726,-0.00044911330562353723,-505.63421513625934,Instance
fibonacci_go_c4_statistics.csv,go,C4,C,0.25,0.25,8,1,0.5620325466800806,0.002810162733400403,2.0,2.0,25,100.0,99.55,99.5,10.045203415369162,5645.731257459373,0.0056457312574593735,0.0004018081366147665,5.0226017076845814e-05,0.0004374029695806684,-3.5594832965901886e-05,-8.85866405438883,Instance
