min,max,average,median,p95,p99,std,target_rps,throughput_rps,total_requests,filename
4943,691981,12385.506666666666,6535.0,14075.349999999997,174918.87999999995,45660.301540122964,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4523,252661,8131.315,6595.0,11861.449999999999,51795.52,10510.892590583115,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
4872,247374,9245.8575,6717.0,13985.449999999968,96588.36,13612.172430360277,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4257,522883,9703.246769487287,6212.0,13635.699999999975,97466.48,25209.89431471031,40.0,39.98,2399,target_rps40.00_iter01_rps39.98_lat.csv
4095,380740,8569.954147561484,6024.0,13313.299999999987,77584.56,18104.340607501064,40.0,39.98,2399,target_rps40.00_iter02_rps39.98_lat.csv
4078,436542,8413.987916666667,6056.0,11901.149999999989,60381.539999999964,17702.49280368269,40.0,40.0,2400,target_rps40.00_iter03_rps40.00_lat.csv
3945,390860,10098.431163287087,6070.0,17503.499999999953,118196.68999999907,21948.024819986196,60.0,62.47,3748,target_rps60.00_iter01_rps62.47_lat.csv
4070,489485,10718.1912,5951.0,19047.849999999937,143431.39999999956,26445.903096648242,60.0,62.5,3750,target_rps60.00_iter02_rps62.50_lat.csv
4063,777844,13174.6645316253,6054.0,20322.09999999998,194188.17999999996,45634.37448429136,60.0,62.45,3747,target_rps60.00_iter03_rps62.45_lat.csv
3759,507055,12352.993986770896,5974.0,40287.2,147641.23999999944,29803.567060392543,80.0,83.15,4989,target_rps80.00_iter01_rps83.15_lat.csv
3982,741436,15435.66011235955,5996.5,57597.14999999992,218846.49000000022,43259.55972655755,80.0,83.07,4984,target_rps80.00_iter02_rps83.07_lat.csv
4005,1379354,16006.829248694256,6197.5,35349.0999999998,201474.12999999934,69511.9594315094,80.0,82.97,4978,target_rps80.00_iter03_rps82.97_lat.csv
3884,509440,16114.619341907466,6137.0,67751.29999999999,207382.2400000002,36977.96666510657,100.0,99.78,5987,target_rps100.00_iter01_rps99.78_lat.csv
3724,575625,21834.03778632336,6060.0,104494.0,292339.99999999924,51883.83496065953,100.0,99.68,5981,target_rps100.00_iter02_rps99.68_lat.csv
3813,959260,22593.486382623225,6000.0,109841.0,299912.31999999966,61896.71860112746,100.0,99.75,5985,target_rps100.00_iter03_rps99.75_lat.csv
3562,1132870,43264.390217683416,12881.0,171074.69999999995,354079.8000000003,70558.48147298303,120.0,124.03,7442,target_rps120.00_iter01_rps124.03_lat.csv
3710,1451150,44721.72291582763,10155.0,168337.5999999997,453511.75999999925,103406.1247006644,120.0,124.15,7449,target_rps120.00_iter02_rps124.15_lat.csv
3671,1315573,40480.65058617437,9594.0,155239.0,340030.20000000054,83005.5333335101,120.0,123.68,7421,target_rps120.00_iter03_rps123.68_lat.csv
3648,1264333,59193.47970173985,27877.0,208193.39999999985,492687.44000000024,92854.04837381814,140.0,140.81,8449,target_rps140.00_iter01_rps140.81_lat.csv
3392,1133161,53384.07584501237,22577.0,188366.0,445270.30000000325,88075.57577770577,140.0,141.52,8491,target_rps140.00_iter02_rps141.52_lat.csv
3643,953089,57259.00661547549,28277.0,202233.79999999946,407090.24000000086,81333.00137502472,140.0,141.08,8465,target_rps140.00_iter03_rps141.08_lat.csv
3497,812931,65711.527404979,44900.0,202206.0,346325.39999999997,72562.43581019613,160.0,162.68,9761,target_rps160.00_iter01_rps162.68_lat.csv
3596,976199,70953.73117843753,44908.0,225982.80000000022,470759.5999999995,90440.18797533576,160.0,164.48,9869,target_rps160.00_iter02_rps164.48_lat.csv
3550,1145466,66851.44144602852,41146.0,195774.6999999999,480673.77999999886,97491.0350063173,160.0,163.66,9820,target_rps160.00_iter03_rps163.66_lat.csv
3692,1067620,83382.52149564918,56012.0,258889.69999999995,497557.0800000002,97665.74213427809,180.0,193.24,11607,target_rps180.00_iter01_rps193.24_lat.csv
3658,1508361,95161.31144998707,60984.0,286686.3999999999,661594.2400000001,127386.22219205728,180.0,193.45,11607,target_rps180.00_iter02_rps193.45_lat.csv
3793,1616500,89947.49453271826,60919.0,268519.75,462177.1500000004,107814.48188543846,180.0,195.09,11706,target_rps180.00_iter03_rps195.09_lat.csv
3897,1061591,85678.57136777598,59677.0,259082.0,464052.0000000003,96154.78646373552,200.0,195.82,11749,target_rps200.00_iter01_rps195.82_lat.csv
3556,1589020,97543.22330262708,64223.0,300568.0500000002,607863.2700000001,123043.33193888831,200.0,195.4,11724,target_rps200.00_iter02_rps195.40_lat.csv
3542,775388,79966.12635752457,56485.5,238248.04999999897,417628.97,84683.08776328167,200.0,193.37,11602,target_rps200.00_iter03_rps193.37_lat.csv
3624,1476983,134441.4935830002,88912.0,400458.0999999998,806705.1400000004,154363.1663507527,220.0,237.65,14259,target_rps220.00_iter01_rps237.65_lat.csv
3626,1215998,127615.62251795521,86755.5,382987.9999999994,648562.3799999997,132800.52294183482,220.0,236.7,14202,target_rps220.00_iter02_rps236.70_lat.csv
3659,1675689,147492.7280805276,95417.0,473534.7999999997,849007.6799999996,168647.8805158064,220.0,240.08,14405,target_rps220.00_iter03_rps240.08_lat.csv
4005,1390929,144435.20002772388,98640.0,441317.39999999997,685505.69,145144.1058538943,240.0,240.46,14428,target_rps240.00_iter01_rps240.46_lat.csv
3703,1878733,127671.64688303565,90057.0,374118.19999999984,653352.2399999965,129040.03422706043,240.0,239.81,14389,target_rps240.00_iter02_rps239.81_lat.csv
3817,2908068,139482.14105058365,94511.5,406435.7999999999,848263.5900000003,154626.28735708736,240.0,239.87,14392,target_rps240.00_iter03_rps239.87_lat.csv
3774,1585576,195719.05214574898,150390.0,544966.6,863646.4799999974,173524.95511186845,260.0,308.75,18525,target_rps260.00_iter01_rps308.75_lat.csv
3884,2581860,214325.00471289275,162033.5,585225.2,930102.5199999996,196174.21243685688,260.0,307.65,18460,target_rps260.00_iter02_rps307.65_lat.csv
4226,1786625,218056.46607094503,162595.0,628830.2,965793.2000000015,198977.2324182339,260.0,307.75,18465,target_rps260.00_iter03_rps307.75_lat.csv
4106,1431614,190187.7217381951,149009.0,506091.7499999999,814265.8299999988,166087.63523970754,280.0,309.89,18594,target_rps280.00_iter01_rps309.89_lat.csv
4137,1303525,207695.45659852296,161486.0,577279.75,847971.5000000016,176557.55934330603,280.0,311.43,18686,target_rps280.00_iter02_rps311.43_lat.csv
4201,1725869,224724.08865668427,163954.5,656972.25,951765.3499999935,209523.6560856198,280.0,309.43,18566,target_rps280.00_iter03_rps309.43_lat.csv
3972,1746736,213189.63552808386,161603.0,589215.9999999998,879962.4399999995,184717.95048379342,300.0,310.08,18605,target_rps300.00_iter01_rps310.08_lat.csv
3843,2197488,203588.66721845465,155801.0,568095.5000000001,898282.54,183473.4768242606,300.0,312.12,18727,target_rps300.00_iter02_rps312.12_lat.csv
3852,1887788,241413.31599208683,176158.0,688868.3999999999,984679.239999999,214981.18946422686,300.0,311.69,18703,target_rps300.00_iter03_rps311.69_lat.csv
3810,1784648,227235.73133290545,169896.0,640041.25,999205.6,204025.5086357756,320.0,311.5,18696,target_rps320.00_iter01_rps311.50_lat.csv
3767,2014845,196034.3780873292,152135.0,524864.7999999995,862339.1200000009,173947.3242768011,320.0,311.07,18665,target_rps320.00_iter02_rps311.07_lat.csv
4060,1656256,213542.74793477094,163659.5,586708.7500000002,857419.14,183785.16303474817,320.0,310.31,18642,target_rps320.00_iter03_rps310.31_lat.csv
7110,6061323,1397365.5869852323,1297416.0,2700455.099999999,3268841.7599999993,842385.9220183803,340.0,416.45,24987,target_rps340.00_iter01_rps416.45_lat.csv
4962,7303973,1599155.0285238228,1673681.0,2935855.1999999993,3810588.4999999995,997596.0713217158,340.0,420.11,25207,target_rps340.00_iter02_rps420.11_lat.csv
7590,9762116,2744069.141481359,2699525.0,4894256.95,5281400.11,1352054.2773829275,340.0,403.23,24194,target_rps340.00_iter03_rps403.23_lat.csv
7386,11689591,3355727.07874447,3801928.0,6075690.3,7307964.119999998,1840703.7275975158,360.0,395.58,23735,target_rps360.00_iter01_rps395.58_lat.csv
6570,9861413,2005308.069698568,1856220.0,3952823.1999999997,4746661.760000001,1177959.7658613063,360.0,410.82,24649,target_rps360.00_iter02_rps410.82_lat.csv
7681,13535691,3132944.601616344,3218075.0,5077174.75,6194299.75,1595001.9741050205,360.0,406.27,24376,target_rps360.00_iter03_rps406.27_lat.csv
6513,14700448,3021823.7948197057,3156691.0,5775437.6,8935872.789999995,2127064.876460442,380.0,393.8,23628,target_rps380.00_iter01_rps393.80_lat.csv
7723,18889621,3798294.1127544804,3431652.0,7540893.55,8160563.940000011,2689521.813058581,380.0,383.13,22988,target_rps380.00_iter02_rps383.13_lat.csv
4713,11225496,2830451.76314281,2877783.0,4560313.5,5521919.350000002,1316565.3925392823,380.0,407.06,24424,target_rps380.00_iter03_rps407.06_lat.csv
12761,12926243,2596371.647434559,2390300.0,4967298.6,5424066.24,1570145.216085443,400.0,399.22,23953,target_rps400.00_iter01_rps399.22_lat.csv
5317,11207133,2778792.309115691,2698583.0,4622547.5,5329460.600000028,1327842.9876368179,400.0,403.52,24211,target_rps400.00_iter02_rps403.52_lat.csv
7931,8118288,2016631.4870878675,2186226.5,3440189.549999997,4387193.679999998,1036131.1810860028,400.0,410.47,24628,target_rps400.00_iter03_rps410.47_lat.csv
5282,17997842,3254255.084422319,3519818.0,5589778.0,7630926.839999997,1731152.3255870724,420.0,401.75,24105,target_rps420.00_iter01_rps401.75_lat.csv
5206,13870990,2832380.3329711207,2537964.0,5534685.600000001,5982733.000000005,1731669.9951828027,420.0,398.77,23927,target_rps420.00_iter02_rps398.77_lat.csv
7085,10979757,2736649.0637136693,2745721.0,5465299.6000000015,6357944.799999998,1483117.3697384668,420.0,393.95,23637,target_rps420.00_iter03_rps393.95_lat.csv
18606,10471652,2314904.1610176414,2252122.0,4173798.05,4581639.820000003,1197106.3031323059,440.0,408.11,24488,target_rps440.00_iter01_rps408.11_lat.csv
