target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,40.00,40.00,40.00,40.00,40.00,40.00,100.0
60.00,62.43,62.47,62.43,62.44,62.43,62.47,104.1
80.00,83.27,83.03,83.17,83.16,83.03,83.27,103.9
100.00,99.66,99.35,99.63,99.55,99.35,99.66,99.5
120.00,124.53,124.18,124.30,124.34,124.18,124.53,103.6
140.00,141.56,141.44,141.06,141.35,141.06,141.56,101.0
160.00,164.42,165.15,164.35,164.64,164.35,165.15,102.9
180.00,196.05,196.41,195.83,196.10,195.83,196.41,108.9
200.00,196.43,196.30,195.23,195.99,195.23,196.43,98.0
220.00,243.35,244.30,243.60,243.75,243.35,244.30,110.8
240.00,240.78,242.55,242.80,242.04,240.78,242.80,100.9
260.00,318.20,318.53,318.80,318.51,318.20,318.80,122.5
280.00,319.41,317.75,318.28,318.48,317.75,319.41,113.7
300.00,317.35,318.75,318.33,318.14,317.35,318.75,106.0
320.00,318.07,316.78,317.65,317.50,316.78,318.07,99.2
340.00,448.16,449.90,450.98,449.68,448.16,450.98,132.3
360.00,453.12,453.74,451.48,452.78,451.48,453.74,125.8
380.00,453.42,451.66,451.75,452.28,451.66,453.42,119.0
400.00,452.47,454.54,451.93,452.98,451.93,454.54,113.2
420.00,448.72,450.40,453.91,451.01,448.72,453.91,107.4
440.00,452.06,453.26,449.77,451.70,449.77,453.26,102.7
460.00,454.10,452.38,454.20,453.56,452.38,454.20,98.6
480.00,451.70,454.55,451.52,452.59,451.52,454.55,94.3
500.00,457.27,451.39,452.77,453.81,451.39,457.27,90.8

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,457.27,500.00
Max Iter2,454.55,480.00
Max Iter3,454.20,460.00
Overall Max,457.27,500.00
Avg of Max,455.34,
