run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,137.85,3763.0,,3763,3763,201169.0,,201169,201169,30889.449401523398,,30889.449401523398,30889.449401523398,26591.0,,26591.0,26591.0,72337.5,,72337.5,72337.5,117263.90000000004,,117263.90000000004,117263.90000000004,22935.82938346693,,22935.82938346693,22935.82938346693,137.85,,137.85,137.85,8271.0,,8271,8271
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,139.8,3517.0,76.36753236814714,3463,3571,373506.5,45210.28626872429,341538,405475,28494.636623748214,2105.3979646115117,27005.89544587506,29983.37780162137,22810.5,1249.4576823566294,21927.0,23694.0,71745.54999999997,4922.028882483353,68265.14999999995,75225.95,123450.98499999962,11896.852390361433,115038.63999999966,131863.32999999958,27849.578882736263,3993.9404277402273,25025.43652262605,30673.72124284648,139.8,0.0,139.8,139.8,8388.0,0.0,8388,8388
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,158.48333333333332,3218.0,,3218,3218,317228.0,,317228,317228,39359.73698601325,,39359.73698601325,39359.73698601325,33977.0,,33977.0,33977.0,90980.6,,90980.6,90980.6,134844.04,,134844.04,134844.04,28062.421643705628,,28062.421643705628,28062.421643705628,158.48333333333332,,158.48333333333332,158.48333333333332,9509.0,,9509,9509
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,158.51666666666668,3316.0,,3316,3316,362196.0,,362196,362196,35737.68594259279,,35737.68594259279,35737.68594259279,29446.0,,29446.0,29446.0,88299.0,,88299.0,88299.0,149487.49999999988,,149487.49999999988,149487.49999999988,29885.50459627402,,29885.50459627402,29885.50459627402,158.51666666666668,,158.51666666666668,158.51666666666668,9511.0,,9511,9511
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,159.23333333333332,3625.0,,3625,3625,324359.0,,324359,324359,39064.1572116391,,39064.1572116391,39064.1572116391,32056.5,,32056.5,32056.5,95741.55000000005,,95741.55000000005,95741.55000000005,152850.22999999908,,152850.22999999908,152850.22999999908,30978.59487037724,,30978.59487037724,30978.59487037724,159.23333333333332,,159.23333333333332,159.23333333333332,9554.0,,9554,9554
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,183.31666666666663,3886.0,,3886,3886,428124.0,,428124,428124,58642.0273661242,,58642.0273661242,58642.0273661242,48286.0,,48286.0,48286.0,144950.1,,144950.1,144950.1,233550.00000000003,,233550.00000000003,233550.00000000003,45562.99473416987,,45562.99473416987,45562.99473416987,183.31666666666663,,183.31666666666663,183.31666666666663,10999.0,,10999,10999
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,185.46666666666667,3689.0,195.16147160748713,3551,3827,355317.0,8184.053885453101,349530,361104,45419.081730769234,2845.6830592195397,43406.879942487416,47431.283519051045,38688.25,2308.3500871834844,37056.0,40320.5,105452.29999999999,6553.536358715081,100818.24999999996,110086.35,163913.37499999997,8037.562573594695,158229.95999999996,169596.78999999998,33430.67880727072,1037.7106057406736,32696.90660104229,34164.45101349915,185.46666666666667,0.0,185.46666666666667,185.46666666666667,11128.0,0.0,11128,11128
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,186.9,3597.0,,3597,3597,263084.0,,263084,263084,48605.24166220796,,48605.24166220796,48605.24166220796,42504.5,,42504.5,42504.5,108072.0,,108072.0,108072.0,152787.28000000012,,152787.28000000012,152787.28000000012,32408.62014464612,,32408.62014464612,32408.62014464612,186.9,,186.9,186.9,11214.0,,11214,11214
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,187.2,3795.0,,3795,3795,364874.0,,364874,364874,48526.466257122505,,48526.466257122505,48526.466257122505,41771.5,,41771.5,41771.5,111368.39999999983,,111368.39999999983,111368.39999999983,172038.02000000014,,172038.02000000014,172038.02000000014,34512.958717950976,,34512.958717950976,34512.958717950976,187.2,,187.2,187.2,11232.0,,11232,11232
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,187.86666666666667,3389.0,,3389,3389,243083.0,,243083,243083,46281.29630943932,,46281.29630943932,46281.29630943932,40070.0,,40070.0,40070.0,105391.89999999994,,105391.89999999994,105391.89999999994,145767.54999999973,,145767.54999999973,145767.54999999973,31409.531697821138,,31409.531697821138,31409.531697821138,187.86666666666667,,187.86666666666667,187.86666666666667,11272.0,,11272,11272
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,219.95,3842.0,,3842,3842,459673.0,,459673,459673,65864.48677729788,,65864.48677729788,65864.48677729788,55980.0,,55980.0,55980.0,150209.19999999998,,150209.19999999998,150209.19999999998,250529.31999999876,,250529.31999999876,250529.31999999876,47645.27503436539,,47645.27503436539,47645.27503436539,219.95,,219.95,219.95,13197.0,,13197,13197
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,221.15,3458.0,,3458,3458,527415.0,,527415,527415,68344.52747004296,,68344.52747004296,68344.52747004296,57021.0,,57021.0,57021.0,165217.8,,165217.8,165217.8,282131.36,,282131.36,282131.36,53930.61531924404,,53930.61531924404,53930.61531924404,221.15,,221.15,221.15,13269.0,,13269,13269
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,223.26666666666668,3212.0,,3212,3212,470956.0,,470956,470956,63573.39750671842,,63573.39750671842,63573.39750671842,53754.5,,53754.5,53754.5,144971.75,,144971.75,144971.75,235988.5999999999,,235988.5999999999,235988.5999999999,47129.54196506357,,47129.54196506357,47129.54196506357,223.26666666666668,,223.26666666666668,223.26666666666668,13396.0,,13396,13396
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,223.63333333333333,3298.0,,3298,3298,425819.0,,425819,425819,59290.64279326279,,59290.64279326279,59290.64279326279,52083.5,,52083.5,52083.5,130106.65,,130106.65,130106.65,199870.5,,199870.5,199870.5,40088.722362450855,,40088.722362450855,40088.722362450855,223.63333333333333,,223.63333333333333,223.63333333333333,13418.0,,13418,13418
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,223.95,3753.0,,3753,3753,583040.0,,583040,583040,67123.81416982958,,67123.81416982958,67123.81416982958,56140.0,,56140.0,56140.0,154116.19999999984,,154116.19999999984,154116.19999999984,274089.91999999934,,274089.91999999934,274089.91999999934,53127.86013812542,,53127.86013812542,53127.86013812542,223.95,,223.95,223.95,13437.0,,13437,13437
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,225.95,3500.0,,3500,3500,650844.0,,650844,650844,68072.00501585897,,68072.00501585897,68072.00501585897,56519.0,,56519.0,56519.0,154075.3999999999,,154075.3999999999,154075.3999999999,337313.9200000001,,337313.9200000001,337313.9200000001,59435.82254948176,,59435.82254948176,59435.82254948176,225.95,,225.95,225.95,13557.0,,13557,13557
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,268.51666666666665,3758.0,,3758,3758,484925.0,,484925,484925,88171.91229594687,,88171.91229594687,88171.91229594687,79178.0,,79178.0,79178.0,184199.0,,184199.0,184199.0,276874.6999999999,,276874.6999999999,276874.6999999999,52888.2876953781,,52888.2876953781,52888.2876953781,268.51666666666665,,268.51666666666665,268.51666666666665,16111.0,,16111,16111
