target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,40.00,40.00,40.00,40.00,40.00,40.00,100.0
60.00,62.48,62.50,62.47,62.48,62.47,62.50,104.1
80.00,83.27,83.20,83.22,83.23,83.20,83.27,104.0
100.00,99.62,99.72,99.53,99.62,99.53,99.72,99.6
120.00,124.05,124.40,124.33,124.26,124.05,124.40,103.5
140.00,141.47,141.50,141.89,141.62,141.47,141.89,101.2
160.00,164.65,163.85,164.38,164.29,163.85,164.65,102.7
180.00,194.98,196.55,195.28,195.60,194.98,196.55,108.7
200.00,195.60,194.90,194.70,195.07,194.70,195.60,97.5
220.00,238.75,241.95,240.18,240.29,238.75,241.95,109.2
240.00,240.66,239.90,241.15,240.57,239.90,241.15,100.2
260.00,308.77,310.03,310.37,309.72,308.77,310.37,119.1
280.00,307.15,309.78,308.18,308.37,307.15,309.78,110.1
300.00,307.71,308.12,307.90,307.91,307.71,308.12,102.6
320.00,311.10,308.75,309.25,309.70,308.75,311.10,96.8
340.00,433.74,439.31,434.29,435.78,433.74,439.31,128.2
360.00,435.50,441.06,434.69,437.08,434.69,441.06,121.4
380.00,435.48,436.95,438.58,437.00,435.48,438.58,115.0
400.00,445.01,439.21,439.62,441.28,439.21,445.01,110.3
420.00,440.35,440.86,443.17,441.46,440.35,443.17,105.1
440.00,438.03,436.78,442.18,439.00,436.78,442.18,99.8
460.00,438.64,442.60,434.65,438.63,434.65,442.60,95.4
480.00,438.33,438.13,439.68,438.71,438.13,439.68,91.4
500.00,437.01,435.25,437.72,436.66,435.25,437.72,87.3
520.00,734.11,746.78,742.09,740.99,734.11,746.78,142.5
540.00,735.09,721.23,737.13,731.15,721.23,737.13,135.4
560.00,724.93,720.60,725.85,723.79,720.60,725.85,129.2
580.00,732.13,728.37,731.00,730.50,728.37,732.13,125.9
600.00,740.32,731.18,727.21,732.90,727.21,740.32,122.2
620.00,731.89,726.55,730.36,729.60,726.55,731.89,117.7
640.00,726.25,723.21,734.93,728.13,723.21,734.93,113.8
660.00,743.03,732.44,730.52,735.33,730.52,743.03,111.4
680.00,723.33,713.98,736.05,724.45,713.98,736.05,106.5
700.00,726.35,719.41,726.88,724.21,719.41,726.88,103.5
720.00,723.45,729.43,720.67,724.52,720.67,729.43,100.6
740.00,737.68,724.25,735.36,732.43,724.25,737.68,99.0
760.00,740.85,729.01,730.85,733.57,729.01,740.85,96.5
780.00,724.75,726.05,727.17,725.99,724.75,727.17,93.1
800.00,722.18,727.71,724.09,724.66,722.18,727.71,90.6
820.00,730.55,745.62,740.35,738.84,730.55,745.62,90.1
840.00,752.36,737.93,727.57,739.29,727.57,752.36,88.0
860.00,733.85,729.89,,731.87,729.89,733.85,85.1

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,752.36,840.00
Max Iter2,746.78,520.00
Max Iter3,742.09,520.00
Overall Max,752.36,840.00
Avg of Max,747.08,
