run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,99.01666666666668,3257.0,,3257,3257,133256.0,,133256,133256,8817.041912136005,,8817.041912136005,8817.041912136005,6233.0,,6233.0,6233.0,22502.0,,22502.0,22502.0,48502.40000000005,,48502.40000000005,48502.40000000005,8531.054175816098,,8531.054175816098,8531.054175816098,99.01666666666668,,99.01666666666668,99.01666666666668,5941.0,,5941,5941
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,121.93333333333334,3303.0,,3303,3303,393836.0,,393836,393836,15019.112766539092,,15019.112766539092,15019.112766539092,8201.0,,8201.0,8201.0,46281.75,,46281.75,46281.75,83441.95000000016,,83441.95000000016,83441.95000000016,22571.800228691664,,22571.800228691664,22571.800228691664,121.93333333333334,,121.93333333333334,121.93333333333334,7316.0,,7316,7316
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,122.41666666666669,3048.0,,3048,3048,257570.0,,257570,257570,13856.562287270252,,13856.562287270252,13856.562287270252,7509.0,,7509.0,7509.0,45162.39999999998,,45162.39999999998,45162.39999999998,84438.11999999984,,84438.11999999984,84438.11999999984,17646.119913429964,,17646.119913429964,17646.119913429964,122.41666666666669,,122.41666666666669,122.41666666666669,7345.0,,7345,7345
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,122.5,3377.0,,3377,3377,172014.0,,172014,172014,15080.81768707483,,15080.81768707483,15080.81768707483,8477.5,,8477.5,8477.5,48935.649999999936,,48935.649999999936,48935.649999999936,83308.42000000032,,83308.42000000032,83308.42000000032,16471.321105880383,,16471.321105880383,16471.321105880383,122.5,,122.5,122.5,7350.0,,7350,7350
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,139.66666666666666,3230.0,,3230,3230,224397.0,,224397,224397,16689.33830548926,,16689.33830548926,16689.33830548926,8261.5,,8261.5,8261.5,56809.25,,56809.25,56809.25,95250.34999999998,,95250.34999999998,95250.34999999998,20011.36988531425,,20011.36988531425,20011.36988531425,139.66666666666666,,139.66666666666666,139.66666666666666,8380.0,,8380,8380
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,140.08333333333334,3347.0,,3347,3347,214882.0,,214882,214882,18163.855800118978,,18163.855800118978,18163.855800118978,8992.0,,8992.0,8992.0,58418.599999999904,,58418.599999999904,58418.599999999904,110725.59999999954,,110725.59999999954,110725.59999999954,21593.18705061031,,21593.18705061031,21593.18705061031,140.08333333333334,,140.08333333333334,140.08333333333334,8405.0,,8405,8405
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,140.51666666666668,3297.0,,3297,3297,246632.0,,246632,246632,18899.11944016131,,18899.11944016131,18899.11944016131,9699.0,,9699.0,9699.0,60297.5,,60297.5,60297.5,102794.5,,102794.5,102794.5,21953.24222594241,,21953.24222594241,21953.24222594241,140.51666666666668,,140.51666666666668,140.51666666666668,8431.0,,8431,8431
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,161.01666666666668,3142.0,,3142,3142,257656.0,,257656,257656,24641.74536797433,,24641.74536797433,24641.74536797433,14762.0,,14762.0,14762.0,70228.0,,70228.0,70228.0,104705.59999999992,,104705.59999999992,104705.59999999992,24207.23730694476,,24207.23730694476,24207.23730694476,161.01666666666668,,161.01666666666668,161.01666666666668,9661.0,,9661,9661
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,161.73333333333332,3192.0,,3192,3192,395490.0,,395490,395490,27615.89622835944,,27615.89622835944,27615.89622835944,15492.0,,15492.0,15492.0,78870.35000000006,,78870.35000000006,78870.35000000006,155411.92999999903,,155411.92999999903,155411.92999999903,32883.75141547934,,32883.75141547934,32883.75141547934,161.73333333333332,,161.73333333333332,161.73333333333332,9704.0,,9704,9704
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,162.41666666666666,3178.0,,3178,3178,279352.0,,279352,279352,23484.64730631093,,23484.64730631093,23484.64730631093,13584.0,,13584.0,13584.0,68042.99999999999,,68042.99999999999,68042.99999999999,106409.23999999998,,106409.23999999998,106409.23999999998,24329.89529866078,,24329.89529866078,24329.89529866078,162.41666666666666,,162.41666666666666,162.41666666666666,9745.0,,9745,9745
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,190.2,3220.0,,3220,3220,419866.0,,419866,419866,37455.90290921837,,37455.90290921837,37455.90290921837,28386.0,,28386.0,28386.0,96461.6,,96461.6,96461.6,160082.45999999976,,160082.45999999976,160082.45999999976,34268.096994336454,,34268.096994336454,34268.096994336454,190.2,,190.2,190.2,11412.0,,11412,11412
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,190.65,3308.0,,3308,3308,222154.0,,222154,222154,33492.332371710814,,33492.332371710814,33492.332371710814,25289.0,,25289.0,25289.0,86525.1,,86525.1,86525.1,127887.32000000012,,127887.32000000012,127887.32000000012,28766.4816903703,,28766.4816903703,28766.4816903703,190.65,,190.65,190.65,11439.0,,11439,11439
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,191.36666666666667,3230.0,,3230,3230,578481.0,,578481,578481,38286.59902456018,,38286.59902456018,38286.59902456018,27553.0,,27553.0,27553.0,94768.04999999996,,94768.04999999996,94768.04999999996,216208.76000000187,,216208.76000000187,216208.76000000187,41352.78846008642,,41352.78846008642,41352.78846008642,191.36666666666667,,191.36666666666667,191.36666666666667,11482.0,,11482,11482
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,192.41666666666663,3219.0,,3219,3219,460968.0,,460968,460968,35512.4750108272,,35512.4750108272,35512.4750108272,25652.0,,25652.0,25652.0,90719.3999999999,,90719.3999999999,90719.3999999999,179804.19999999995,,179804.19999999995,179804.19999999995,36362.487847163095,,36362.487847163095,36362.487847163095,192.41666666666663,,192.41666666666663,192.41666666666663,11545.0,,11545,11545
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,193.01666666666668,3047.0,,3047,3047,276496.0,,276496,276496,33102.949399879115,,33102.949399879115,33102.949399879115,23239.0,,23239.0,23239.0,90277.0,,90277.0,90277.0,152665.20000000004,,152665.20000000004,152665.20000000004,31104.796141402643,,31104.796141402643,31104.796141402643,193.01666666666668,,193.01666666666668,193.01666666666668,11581.0,,11581,11581
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,193.28333333333333,3114.0,,3114,3114,337431.0,,337431,337431,36173.32042769682,,36173.32042769682,36173.32042769682,25089.0,,25089.0,25089.0,99777.0,,99777.0,99777.0,196099.83999999997,,196099.83999999997,196099.83999999997,37289.41247445141,,37289.41247445141,37289.41247445141,193.28333333333333,,193.28333333333333,193.28333333333333,11597.0,,11597,11597
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,229.66666666666663,3389.0,,3389,3389,470092.0,,470092,470092,50462.2591436865,,50462.2591436865,50462.2591436865,42175.0,,42175.0,42175.0,128856.34999999998,,128856.34999999998,128856.34999999998,201000.8799999998,,201000.8799999998,201000.8799999998,41306.33369617261,,41306.33369617261,41306.33369617261,229.66666666666663,,229.66666666666663,229.66666666666663,13780.0,,13780,13780
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,231.78333333333333,3274.0,,3274,3274,442978.0,,442978,442978,50266.57453081182,,50266.57453081182,50266.57453081182,42075.0,,42075.0,42075.0,117675.59999999996,,117675.59999999996,117675.59999999996,229937.8200000008,,229937.8200000008,229937.8200000008,43465.81849400036,,43465.81849400036,43465.81849400036,231.78333333333333,,231.78333333333333,231.78333333333333,13907.0,,13907,13907
