timestamp,pod_count,cpu_usage_millicores,memory_usage_mib
2025-08-29T13:13:29.344438,1,8,14
2025-08-29T13:13:31.543998,1,8,14
2025-08-29T13:13:33.829286,1,8,14
2025-08-29T13:13:36.120883,1,8,14
2025-08-29T13:13:38.557828,1,8,14
2025-08-29T13:13:40.901769,1,8,14
2025-08-29T13:13:43.285755,1,264,22
2025-08-29T13:13:45.611744,1,264,22
2025-08-29T13:13:47.909909,1,264,22
2025-08-29T13:13:50.179464,1,264,22
2025-08-29T13:13:52.448997,1,264,22
2025-08-29T13:13:54.751734,1,264,22
2025-08-29T13:13:57.126026,1,264,22
2025-08-29T13:13:59.468592,1,892,30
2025-08-29T13:14:01.759260,1,892,30
2025-08-29T13:14:04.049318,1,892,30
2025-08-29T13:14:06.353787,1,892,30
2025-08-29T13:14:08.681917,1,892,30
2025-08-29T13:14:11.024108,1,892,30
2025-08-29T13:14:13.419596,1,916,32
2025-08-29T13:14:15.698071,1,916,32
2025-08-29T13:14:18.024349,1,916,32
2025-08-29T13:14:20.298035,1,916,32
2025-08-29T13:14:22.583090,1,916,32
2025-08-29T13:14:24.870560,1,916,32
2025-08-29T13:14:27.252182,1,916,32
2025-08-29T13:14:29.601407,1,907,33
2025-08-29T13:14:31.957591,1,907,33
2025-08-29T13:14:34.296605,1,907,33
2025-08-29T13:14:36.645085,1,907,33
2025-08-29T13:14:38.933203,1,907,33
2025-08-29T13:14:41.177859,1,907,33
2025-08-29T13:14:43.440362,1,652,34
2025-08-29T13:14:45.743320,1,652,34
2025-08-29T13:14:48.035434,1,652,34
2025-08-29T13:14:50.353771,1,652,34
2025-08-29T13:14:52.655657,1,652,34
2025-08-29T13:14:54.944191,1,652,34
2025-08-29T13:14:57.231980,1,652,34
2025-08-29T13:14:59.469221,1,927,34
2025-08-29T13:15:01.709226,1,927,34
2025-08-29T13:15:03.953921,1,927,34
2025-08-29T13:15:06.255792,1,927,34
2025-08-29T13:15:08.577819,1,927,34
2025-08-29T13:15:11.156805,1,927,34
2025-08-29T13:15:13.458996,1,676,36
2025-08-29T13:15:15.768553,1,676,36
2025-08-29T13:15:17.981793,1,676,36
2025-08-29T13:15:20.221820,1,676,36
2025-08-29T13:15:22.493928,1,676,36
2025-08-29T13:15:24.838606,1,676,36
2025-08-29T13:15:27.156863,1,676,36
2025-08-29T13:15:29.476868,1,555,35
2025-08-29T13:15:31.818083,1,555,35
2025-08-29T13:15:34.094585,1,555,35
2025-08-29T13:15:36.285789,1,555,35
2025-08-29T13:15:38.601234,1,555,35
2025-08-29T13:15:40.953759,1,555,35
2025-08-29T13:15:43.307571,1,835,35
2025-08-29T13:15:45.594312,1,835,35
2025-08-29T13:15:47.884129,1,835,35
2025-08-29T13:15:50.125117,1,835,35
2025-08-29T13:15:52.380032,1,835,35
2025-08-29T13:15:54.776613,1,835,35
2025-08-29T13:15:57.059056,1,835,35
2025-08-29T13:15:59.388646,1,685,34
2025-08-29T13:16:01.756478,1,685,34
2025-08-29T13:16:04.137927,1,685,34
2025-08-29T13:16:06.610772,1,685,34
2025-08-29T13:16:09.024285,1,685,34
2025-08-29T13:16:11.329826,1,685,34
2025-08-29T13:16:13.664970,1,896,34
2025-08-29T13:16:15.959289,1,896,34
2025-08-29T13:16:18.274265,1,896,34
2025-08-29T13:16:20.615977,1,896,34
2025-08-29T13:16:22.928990,1,896,34
2025-08-29T13:16:25.207367,1,896,34
2025-08-29T13:16:27.588028,1,896,34
2025-08-29T13:16:29.929756,1,914,34
2025-08-29T13:16:32.322481,1,914,34
2025-08-29T13:16:34.712977,1,914,34
2025-08-29T13:16:37.006874,1,914,34
2025-08-29T13:16:39.240933,1,914,34
2025-08-29T13:16:41.466262,1,914,34
2025-08-29T13:16:43.721080,1,583,34
2025-08-29T13:16:46.062654,1,583,34
2025-08-29T13:16:48.449239,1,583,34
2025-08-29T13:16:50.718237,1,583,34
2025-08-29T13:16:53.016001,1,583,34
2025-08-29T13:16:55.396530,1,583,34
2025-08-29T13:16:57.748697,1,583,34
2025-08-29T13:17:00.167750,1,478,36
2025-08-29T13:17:02.528707,1,478,36
2025-08-29T13:17:04.831619,1,478,36
2025-08-29T13:17:07.197805,1,478,36
2025-08-29T13:17:09.571490,1,478,36
2025-08-29T13:17:11.894550,1,478,36
2025-08-29T13:17:14.293881,1,964,34
2025-08-29T13:17:16.721755,1,964,34
2025-08-29T13:17:19.088209,1,964,34
2025-08-29T13:17:21.461996,1,964,34
